market_code,code,所属概念数量,所属概念,股票代码
17,600989,11,煤化工概念;煤炭概念;POE胶膜;氢能源;碳中和;西部大开发;2025年报预增;跨境电商;DeepSeek概念;融资融券;沪股通,600989.SH
33,000520,3,航运概念;统一大市场;一带一路,000520.SZ
33,000985,3,黑龙江自贸区;国企改革;央企国企改革,000985.SZ
151,920943,11,航空发动机;海工装备;人民币贬值受益;低空经济;中俄贸易概念;商业航天;核电;无人机;风电;西部大开发;融资融券,920943.BJ
17,688390,8,光伏概念;光伏建筑一体化;储能;回购增持再贷款概念;虚拟电厂;智能电网;沪股通;融资融券,688390.SH
151,920159,4,化肥;数字乡村;新股与次新股;融资融券,920159.BJ
17,601008,7,中韩自贸区;航运概念;国企改革;中俄贸易概念;一带一路;沪股通;融资融券,601008.SH
33,301613,14,富士康概念;消费电子概念;比亚迪概念;宁德时代概念;新能源汽车;机器人概念;锂电池概念;固态电池;无人机;储能;西部大开发;股权转让(并购重组);深股通;融资融券,301613.SZ
151,920519,4,军工;专精特新;融资融券;西部大开发,920519.BJ
33,002221,11,页岩气;俄乌冲突概念;天然气;氢能源;碳纤维;石墨烯;燃料电池;核电;跨境电商;深股通;融资融券,002221.SZ
33,000593,10,青蒿素;信托概念;天然气;股权转让(并购重组);碳中和;西部大开发;地下管网;储能;氢能源;融资融券,000593.SZ
33,301179,29,智能电网;特高压;电力物联网;柔性直流输电;充电桩;虚拟电厂;风电;专精特新;储能;数据中心;光伏概念;新型工业化;机器人概念;5G;无人机;物联网;低空经济;数字孪生;绿色电力;光伏建筑一体化;人工智能;网络安全;数字经济;DeepSeek概念;数据安全;多模态AI;AI应用;深股通;融资融券,301179.SZ
17,600800,7,环氧丙烷;丙烯酸;天津自贸区;国企改革;氢能源;融资融券;芯片概念,600800.SH
17,600691,15,化肥;煤化工概念;消毒剂;天然气;氢能源;回购增持再贷款概念;国企改革;光伏概念;燃料电池;一带一路;储能;机器人概念;股权转让(并购重组);沪股通;融资融券,600691.SH
