股票代码,code,所属概念数量,market_code,所属概念
300751.SZ,300751,16,33,钙钛矿电池;HJT电池;第三代半导体;MicroLED概念;芯片概念;高端装备;新型工业化;先进封装;存储芯片;MiniLED;光伏概念;OLED;回购增持再贷款概念;锂电池概念;融资融券;深股通
000066.SZ,000066,37,33,华为鲲鹏;信创;网络安全;数据安全;国产操作系统;量子科技;区块链;百度概念;DeepSeek概念;卫星导航;车联网(车路协同);智慧城市;数字经济;人工智能;中国AI 50;东数西算(算力);华为概念;商业航天;军民融合;军工;芯片概念;5G;数据中心;AI PC;消费电子概念;粤港澳大湾区;汽车电子;海工装备;央企国企改革;液冷服务器;智能电网;国企改革;锂电池概念;钠离子电池;深股通;中字头股票;融资融券
600343.SH,600343,13,17,商业航天;军民融合;大飞机;军工;高端装备;水利;央企国企改革;氢能源;西部大开发;国企改革;煤化工概念;沪股通;融资融券
002413.SZ,002413,27,33,太赫兹;商业航天;军工信息化;卫星导航;大飞机;6G概念;军民融合;军工;无人机;毫米波雷达;低空经济;车联网(车路协同);东数西算(算力);无人驾驶;数据要素;芯片概念;人工智能;5G;华为概念;汽车电子;京津冀一体化;DeepSeek概念;存储芯片;比亚迪概念;养老概念;深股通;融资融券
301024.SZ,301024,13,33,光伏建筑一体化;建筑节能;装配式建筑;新型城镇化;职业教育;光伏概念;风电;储能;数据中心;上海自贸区;蚂蚁集团概念;区块链;融资融券
688239.SH,688239,14,17,航空发动机;大飞机;商业航天;核电;海工装备;高端装备;专精特新;风电;DeepSeek概念;锂电池概念;西部大开发;低空经济;沪股通;融资融券
688196.SH,688196,5,17,可降解塑料;人民币贬值受益;海峡两岸;沪股通;融资融券
688033.SH,688033,12,17,成飞概念;大飞机;商业航天;碳纤维;军工;高铁;飞行汽车(eVTOL);光伏概念;锂电池概念;新能源汽车;京津冀一体化;融资融券
688519.SH,688519,10,17,共封装光学(CPO);PCB概念;存储芯片;MiniLED;5G;新能源汽车;专精特新;华为概念;沪股通;融资融券
600686.SH,600686,15,17,燃料电池;氢能源;智能物流;新能源汽车;国企改革;车联网(车路协同);长安汽车概念;福建自贸区;海峡两岸;安防;华为概念;无人驾驶;百度概念;融资融券;沪股通
688047.SH,688047,13,17,信创;国产操作系统;鸿蒙概念;商业航天;百度概念;MCU芯片;东数西算(算力);汽车芯片;DeepSeek概念;芯片概念;机器人概念;沪股通;融资融券
600871.SH,600871,13,17,可燃冰;页岩气;俄乌冲突概念;天然气;雄安新区;碳中和;国企改革;一带一路;海工装备;央企国企改革;氢能源;融资融券;沪股通
300385.SZ,300385,4,33,医疗废物处理;固废处理;国企改革;专精特新
300191.SZ,300191,7,33,可燃冰;俄乌冲突概念;天然气;新疆振兴;海工装备;深股通;融资融券
688523.SH,688523,8,17,卫星导航;商业航天;大飞机;航空发动机;无人机;低空经济;沪股通;融资融券
688510.SH,688510,9,17,航空发动机;大飞机;无人机;专精特新;人民币贬值受益;绿色电力;医疗器械概念;沪股通;融资融券
300221.SZ,300221,16,33,商业航天;碳纤维;无人机;3D打印;5G;机器人概念;网约车;创投;消费电子概念;新型烟草(电子烟);OLED;可降解塑料;新能源汽车;PCB概念;NMN概念;2025年报预增
301200.SZ,301200,7,33,PCB概念;先进封装;2025年报预增;工业母机;高端装备;深股通;融资融券
