code,股票代码,所属概念,所属概念数量,market_code
300274,300274.SZ,宁德时代概念;光伏概念;储能;氢能源;充电桩;虚拟电厂;新能源汽车;风电;数据中心;深股通;融资融券;同花顺漂亮100;回购增持再贷款概念;数字经济,14.0,33
301265,301265.SZ,汽车拆解概念;固废处理;稀土永磁;金属回收;金属钴;金属镍;金属铜;小金属概念;黄金概念;存储芯片;芯片概念;百度概念;融资融券,13.0,33
000988,000988.SZ,共封装光学(CPO);F5G概念;铜缆高速连接;PCB概念;先进封装;5G;苹果概念;高压快充;第三代半导体;6G概念;芯片概念;MicroLED概念;工业母机;充电桩;汽车电子;宁德时代概念;柔性屏(折叠屏);储能;锂电池概念;高端装备;氢能源;3D打印;东数西算(算力);比亚迪概念;新能源汽车;专精特新;航空发动机;量子科技;华为概念;传感器;汽车热管理;特斯拉概念;新型工业化;卫星导航;商业航天;工业互联网;农机;机器人概念;智能座舱;大飞机;钙钛矿电池;物联网;回购增持再贷款概念;华为汽车;数字孪生;乡村振兴;家用电器;长安汽车概念;智能家居;智慧城市;独角兽概念;创投;国企改革;阿里巴巴概念;腾讯概念;百度概念;AI智能体;数据要素;基因测序;深股通;融资融券;MiniLED,62.0,33
688700,688700.SH,PCB概念;PET铜箔;华为手机;芯片概念;2025年报预增;固态电池;高端装备;专精特新;光伏概念;融资融券;沪股通,11.0,17
300135,300135.SZ,俄乌冲突概念;新疆振兴;中俄贸易概念;国企改革;一带一路;雅下水电概念;低空经济;高铁;芯片概念;股权转让(并购重组),10.0,33
002638,002638.SZ,智慧灯杆;储能;智慧城市;车联网(车路协同);华为概念;人民币贬值受益;5G,7.0,33
002452,002452.SZ,柔性直流输电;特高压;智能电网;风电;光伏概念;充电桩;储能;绿色电力;新能源汽车;专精特新;军工;数据中心;新疆振兴;融资融券,14.0,33
600389,600389.SH,草甘膦;磷化工;2025年报预增;乡村振兴;融资融券;沪股通,6.0,17
301638,301638.SZ,电力物联网;虚拟电厂;智能电网;碳中和;数字孪生;数据中心;算力租赁;数据要素;多模态AI;注册制次新股;DeepSeek概念;AI应用;东数西算(算力);人工智能;数字经济;国产操作系统;区块链;物联网;鸿蒙概念;网络安全;国企改革;央企国企改革;粤港澳大湾区;无人机;量子科技;传感器;卫星导航;芯片概念;深股通;新股与次新股;融资融券,31.0,33
002709,002709.SZ,钠离子电池;氟化工概念;固态电池;动力电池回收;宁德时代概念;锂电池概念;有机硅概念;2025年报预增;特斯拉概念;比亚迪概念;PEEK材料;同花顺漂亮100;回购增持再贷款概念;深股通;融资融券,15.0,33
