所属概念,所属概念数量,market_code,股票代码,code
抽水蓄能;智能电网;可控核聚变;超超临界发电;核电;光伏概念;风电;储能;充电桩;海工装备;水利;数据中心;比亚迪概念;粤港澳大湾区;中芯国际概念;东数西算(算力);数字经济;阿里巴巴概念;百度概念;深股通;融资融券,21,33,000533.SZ,000533
高端装备;工业母机;新型工业化;2025年报预增,4,33,002248.SZ,002248
煤化工概念;碳交易;新疆振兴;绿色电力;风电;回购增持再贷款概念;国企改革;天津自贸区;储能;京津冀一体化;华为数字能源;DeepSeek概念;数字经济;算力租赁;智慧城市;华为概念;东数西算(算力);沪股通;融资融券,19,17,600821.SH,600821
一体化压铸;长安汽车概念;共同富裕示范区;新能源汽车;机器人概念;人形机器人;长三角一体化;比亚迪概念;飞行汽车(eVTOL);工业互联网;储能;低空经济;光伏概念;沪股通,14,17,605018.SH,605018
硅能源;光伏概念;光热发电;核电;超超临界发电;氢能源;高端装备;储能;碳中和;数据中心;工业互联网;液冷服务器;专精特新;DeepSeek概念;融资融券;沪股通,16,17,600481.SH,600481
抽水蓄能;光伏建筑一体化;超超临界发电;绿色电力;碳中和;风电;储能;煤炭概念;充电桩;工业互联网;国企改革;创投;华为概念;人工智能;智能物流;东数西算(算力);深股通;融资融券,18,33,001896.SZ,001896
智能电网;风电;储能;绿色电力;碳交易;回购增持再贷款概念;西部大开发;沪股通;融资融券,9,17,601619.SH,601619
商业航天;人工智能;海工装备;智能家居;家用电器;回购增持再贷款概念,6,33,300749.SZ,300749
智能电网;核电;风电;光伏概念;储能;海工装备;绿色电力;钠离子电池;水利;军工;专精特新;机器人概念;深股通;融资融券,14,33,301120.SZ,301120
存储芯片;光刻机;共封装光学(CPO);第三代半导体;芯片概念;专精特新;信创;AI智能体;人工智能;DeepSeek概念;深股通;融资融券,12,33,301095.SZ,301095
共封装光学(CPO);光纤概念;光刻机;先进封装;存储芯片;MicroLED概念;MR(混合现实);OLED;芯片概念;消费电子概念;3D打印;智能座舱;虚拟现实;可控核聚变;机器视觉;无人驾驶;回购增持再贷款概念;西部大开发;医美概念;沪股通;融资融券,21,17,688167.SH,688167
算力租赁;财税数字化;云计算;ChatGPT概念;多模态AI;腾讯概念;AI智能体;东数西算(算力);智慧政务;信创;MR(混合现实);数据要素;空间计算;数据中心;DeepSeek概念;华为概念;安防;人工智能;数字经济;职业教育;智慧城市;物联网;智能医疗;AI应用;专精特新;智能物流;乡村振兴;旅游概念;新型城镇化;深股通;融资融券,31,33,301396.SZ,301396
智谱AI;华为欧拉;算力租赁;云计算;华为鲲鹏;信创;智慧政务;网络安全;东数西算(算力);英伟达概念;DeepSeek概念;数字经济;数据中心;华为概念;互联网金融;低空经济;物联网;无人驾驶;融资融券,19,17,688316.SH,688316
碳中和;污水处理;2025年报预增;专精特新;新能源汽车;融资融券,6,33,301518.SZ,301518
共封装光学(CPO);光纤概念;BC电池;富士康概念;苹果概念;华为海思概念股;芯片概念;TOPCON电池;HJT电池;英伟达概念;光伏概念;数据中心;新型工业化;高端装备;新能源汽车;量子科技;华为概念;商业航天;工业互联网;股权转让(并购重组);融资融券;深股通,22,33,300757.SZ,300757
海南自贸区;智能电网;抽水蓄能;光伏概念;储能;风电;核电;海工装备;雅下水电概念;数据中心;高端装备;新能源汽车;工业互联网;专精特新;机器人概念;华为概念;数字孪生;中国AI 50;阿里巴巴概念;百度概念;数据要素;融资融券;沪股通,23,17,688676.SH,688676
有机硅概念;锂电池概念;光刻胶;芯片概念;国企改革;沪股通;股权转让(并购重组),7,17,603155.SH,603155
染料;京津冀一体化;雄安新区;低空经济;飞行汽车(eVTOL);深股通,6,33,300107.SZ,300107
低空经济;专精特新;飞行汽车(eVTOL);数据中心;芯片概念;烟草;液冷服务器;高铁;比亚迪概念;光伏概念;换电概念;新能源汽车;空气能热泵;汽车热管理;储能;农机;充电桩;风电;回购增持再贷款概念,19,33,300594.SZ,300594
电子纸;芯片概念;OLED;AI眼镜;智能穿戴;沪股通;融资融券,7,17,688593.SH,688593
氢能源;燃料电池;工业母机;新能源汽车;绿色电力;农机;比亚迪概念;2025年报预增;人形机器人;汽车电子;MCU芯片;机器人概念;长安汽车概念;5G;无人机;无人驾驶;华为概念;乡村振兴;车联网(车路协同);互联网金融;深股通,21,33,002448.SZ,002448
地下管网;净水概念;新型城镇化;固废处理;污水处理;PPP概念;生物质能发电;专精特新;高端装备;回购增持再贷款概念;氢能源;储能;充电桩;绿色电力;风电;东数西算(算力);华为概念;深股通;融资融券,19,33,301127.SZ,301127
柔性直流输电;水利;数字经济;特高压;新能源汽车;新股与次新股;融资融券,7,151,920018.BJ,920018
