code,所属概念,market_code,股票代码,所属概念数量
600156,旅游概念;跨境电商;算力租赁;东数西算(算力);5G;柔性屏(折叠屏);消费电子概念;数据中心;养老概念;人民币贬值受益;液冷服务器;国企改革;医疗器械概念;股权转让(并购重组),17,600156.SH,14
000670,智能家居;存储芯片;小米概念;人民币贬值受益;机器人概念;虚拟现实;海峡两岸;芯片概念;无人机;深股通,33,000670.SZ,10
603088,液冷服务器;芯片概念;工业母机;小米概念;专精特新;汽车热管理;新型工业化;比亚迪概念;高端装备;新能源汽车;机器人概念;特斯拉概念;宁德时代概念;空气能热泵;锂电池概念;氢能源;动力电池回收;国企改革;沪股通;融资融券,17,603088.SH,20
603777,IP经济(谷子经济);腾讯概念;人工智能;白酒概念;智能物流;融资融券,17,603777.SH,6
001299,天然气;西部大开发;物联网,33,001299.SZ,3
301393,CRO概念;减肥药;创新药;深股通;融资融券,33,301393.SZ,5
002787,锂电池概念;2025年报预增;长三角一体化;食品安全;芯片概念;创投;海峡两岸,33,002787.SZ,7
002950,医药电商;医美概念;医疗器械概念;三胎概念;人民币贬值受益;回购增持再贷款概念;深股通,33,002950.SZ,7
000659,横琴新区;粤港澳大湾区;啤酒概念,33,000659.SZ,3
002177,互联网金融;国产操作系统;人脸识别;数字经济;创投;粤港澳大湾区;物业管理;深股通;融资融券,33,002177.SZ,9
605069,新型城镇化;水利;土壤修复;污水处理;雄安新区;人工智能;智慧城市;数字孪生;PPP概念;京津冀一体化;数字经济;碳中和;AI智能体;元宇宙;乡村振兴;智谱AI;旅游概念;IP经济(谷子经济);AIGC概念;物业管理,17,605069.SH,20
603101,物业管理;预制菜;低空经济;西部大开发;一带一路;抖音概念(字节概念);新疆振兴,17,603101.SH,7
000626,生态农业;粮食概念;农业种植;乡村振兴;统一大市场;跨境电商;2026一季报预增,33,000626.SZ,7
600743,物业管理;证金持股;国企改革;京津冀一体化;智能家居;沪股通;融资融券;股权转让(并购重组),17,600743.SH,8
600876,光热发电;光伏概念;碳中和;国企改革;央企国企改革;沪股通;融资融券,17,600876.SH,7
000402,物业管理;特色小镇;参股券商;证金持股;装配式建筑;国企改革;京津冀一体化;碳交易;碳中和;深股通;融资融券,33,000402.SZ,11
603459,锂电池概念;商业航天;卫星导航;东数西算(算力);芯片概念;存储芯片;一带一路;MiniLED;共封装光学(CPO);小米概念;消费电子概念;汽车电子;比亚迪概念;机器人概念;智能穿戴;智能座舱;无人驾驶;富士康概念;华为概念;华为手机;PCB概念;注册制次新股;新股与次新股;融资融券,17,603459.SH,24
301197,专精特新;新型城镇化;建筑节能;智慧城市;华为概念;雄安新区;人工智能;回购增持再贷款概念;信创;数据要素;华为鲲鹏;蚂蚁集团概念;融资融券,33,301197.SZ,13
688275,钠离子电池;固态电池;磷化工;锂电池概念;宁德时代概念;储能;碳中和;充电桩;比亚迪概念;新能源汽车;污水处理;专精特新;沪股通;融资融券,17,688275.SH,14
920779,高股息精选;宁德时代概念;锂电池概念;融资融券;消费电子概念;比亚迪概念;固态电池,151,920779.BJ,7
300905,光刻胶;染料;专精特新;3D打印;足球概念;深股通;融资融券,33,300905.SZ,7
301372,新型城镇化;净水概念;污水处理;地下管网;水利;融资融券,33,301372.SZ,6
301310,飞行汽车(eVTOL);人形机器人;军工;机器人概念;新能源汽车;比亚迪概念;核电;专精特新;可控核聚变;充电桩;创投;高压快充;宁德时代概念;储能;光伏概念;铜缆高速连接;深股通;融资融券,33,301310.SZ,18
301391,东数西算(算力);芯片概念;机器视觉;MicroLED概念;虚拟现实;元宇宙;人工智能;AI应用;华为昇腾;深股通;融资融券,33,301391.SZ,11
300881,特钢概念;光热发电;核电;超超临界发电;新能源汽车;专精特新;氢能源;比亚迪概念;一体化压铸;创投;减速器;融资融券,33,300881.SZ,12
603538,减肥药;CRO概念;流感;肝炎概念;辅助生殖;合成生物;宠物经济;人民币贬值受益;沪股通;融资融券,17,603538.SH,10
688175,军工信息化;军工;物联网;6G概念;网络安全;5G;数据要素;人工智能;商业航天;股权转让(并购重组);融资融券,17,688175.SH,11
688279,芯片概念;机器人概念;新能源汽车;沪股通;融资融券,17,688279.SH,5
002384,共封装光学(CPO);同花顺果指数;PCB概念;苹果概念;5G;数据中心;消费电子概念;芯片概念;MiniLED;高压快充;小米概念;华为概念;新能源汽车;人形机器人;特斯拉概念;深股通;机器人概念;人民币贬值受益;长三角一体化;2026一季报预增;融资融券,33,002384.SZ,21
300145,液冷服务器;数据中心;核电;空气能热泵;储能;专精特新;风电;比亚迪概念;水利;军工;垃圾分类;智慧城市;土壤修复;污水处理;中俄贸易概念;创投;净水概念;固废处理;中芯国际概念;腾讯概念;新型城镇化;PPP概念;国企改革;金属回收;深股通;融资融券,33,300145.SZ,26
688625,专精特新;沪股通;融资融券,17,688625.SH,3
603800,光刻机;PET铜箔;芯片概念;固态电池;锂电池概念;机器视觉;海工装备;天然气;页岩气;沪股通;融资融券,17,603800.SH,11
003019,智能座舱;汽车电子;福建自贸区;海峡两岸;人形机器人;特斯拉概念;新能源汽车;机器人概念;芯片概念;物联网;人民币贬值受益;人工智能;数字货币;深股通,33,003019.SZ,14
300853,新型工业化;传感器;机器人概念;电力物联网;无人机;语音技术;专精特新;机器视觉;人形机器人;智能电网;人工智能;智能穿戴;东数西算(算力);AI眼镜;DeepSeek概念;储能;海工装备;一带一路,33,300853.SZ,18
688498,共封装光学(CPO);光纤概念;汽车芯片;5G;芯片概念;数据中心;西部大开发;沪股通;融资融券,17,688498.SH,9
300904,绿色电力;风电;海工装备;减速器;新能源汽车;西部大开发;融资融券,33,300904.SZ,7
603045,数据中心;智能电网;5G;工业互联网;汽车电子;2025年报预增;HJT电池;充电桩;储能;比亚迪概念;新能源汽车;TOPCON电池;高铁;智能家居;金属回收;BC电池;黄金概念;股权转让(并购重组);融资融券,17,603045.SH,19
300068,华为数字能源;两轮车;虚拟电厂;钠离子电池;储能;动力电池回收;锂电池概念;固态电池;华为概念;氢能源;燃料电池;低空经济;阿里巴巴概念;风电;比亚迪概念;核电;数据中心;绿色电力;抖音概念(字节概念);新能源汽车;5G;金属回收;小金属概念;深股通;融资融券,33,300068.SZ,25
600864,碳交易;期货概念;参股券商;黑龙江自贸区;参股银行;互联网金融;碳中和;国企改革;创投;沪股通;融资融券,17,600864.SH,11
688686,传感器;机器视觉;机器人概念;苹果概念;粤港澳大湾区;AI应用;锂电池概念;光伏建筑一体化;融资融券;沪股通,17,688686.SH,10
300432,盐湖提锂;锂电池概念;储能;宁德时代概念;磷化工;人形机器人;长安汽车概念;比亚迪概念;减速器;机器人概念;华为概念;低空经济;新能源汽车;小米概念;军工;小米汽车;华为汽车;西部大开发;汽车热管理;深股通;股权转让(并购重组);融资融券,33,300432.SZ,22
001228,跨境电商;换电概念;智能物流;共同富裕示范区;统一大市场;工业互联网;新能源汽车;一带一路;回购增持再贷款概念;航运概念,33,001228.SZ,10
688398,专精特新;新能源汽车;家用电器;福建自贸区;冷链物流;融资融券,17,688398.SH,6
002916,PCB概念;富士康概念;先进封装;存储芯片;苹果概念;国家大基金持股;汽车电子;芯片概念;5G;新能源汽车;2025年报预增;数据中心;粤港澳大湾区;华为概念;央企国企改革;国企改革;深股通;融资融券,33,002916.SZ,18
000967,储能;充电桩;固废处理;垃圾分类;智能电网;污水处理;新能源汽车;回购增持再贷款概念;核电;PPP概念;机器人概念;华为概念;特色小镇;物联网;无人驾驶;智慧城市;云计算;数据要素;深股通;融资融券,33,000967.SZ,20
688758,沪股通;融资融券,17,688758.SH,2
600166,燃料电池;冷链物流;新能源汽车;华为汽车;国企改革;动力电池回收;氢能源;锂电池概念;无人驾驶;军工;宁德时代概念;固态电池;工业互联网;智能座舱;2025年报预增;车联网(车路协同);智慧城市;华为概念;DeepSeek概念;百度概念;沪股通;融资融券,17,600166.SH,22
920225,高端装备;食品安全;页岩气;白酒概念;融资融券;液冷服务器;海工装备;数据中心;核电;地下管网;军工;人民币贬值受益;中俄贸易概念;专精特新,151,920225.BJ,14
688293,重组蛋白;CRO概念;2025年报预增;沪股通;股权转让(并购重组);融资融券,17,688293.SH,6
920627,人形机器人;锂电池概念;融资融券;消费电子概念;新型烟草(电子烟);固态电池;储能;人民币贬值受益;两轮车,151,920627.BJ,9
600929,国企改革;回购增持再贷款概念;钠离子电池;固态电池;储能;消费电子概念;AI智能体;沪股通;融资融券,17,600929.SH,9
001283,钠离子电池;固态电池;两轮车;动力电池回收;锂电池概念;新型烟草(电子烟);储能;比亚迪概念;新能源汽车;人形机器人;小米概念;粤港澳大湾区;AI PC;2025年报预增;人民币贬值受益;机器人概念;AI眼镜;消费电子概念;智能穿戴;回购增持再贷款概念;数据中心;人工智能;深股通,33,001283.SZ,23
688022,新型工业化;专精特新;比亚迪概念;汽车热管理;新能源汽车;传感器;机器人概念;换电概念;工业互联网;机器视觉;特斯拉概念;汽车电子;华为概念;储能;充电桩;宁德时代概念;毫米波雷达;锂电池概念;PCB概念;融资融券,17,688022.SH,20
688234,第三代半导体;芯片概念;AI眼镜;新能源汽车;专精特新;华为概念;智能电网;沪股通;融资融券,17,688234.SH,9
600030,期货概念;证金持股;同花顺漂亮100;沪股通;融资融券;同花顺中特估100,17,600030.SH,6
600749,冰雪产业;旅游概念;露营经济;IP经济(谷子经济);文化传媒概念;西部大开发,17,600749.SH,6
603798,回购增持再贷款概念;氢能源;燃料电池;军民融合;军工,17,603798.SH,5
300438,钠离子电池;虚拟电厂;两轮车;固态电池;储能;深股通;锂电池概念;充电桩;石墨烯;燃料电池;新型烟草(电子烟);粤港澳大湾区;独角兽概念;长安汽车概念;低空经济;新能源汽车;机器人概念;无线耳机;军工;无人机;小米概念;消费电子概念;融资融券,33,300438.SZ,23
688183,共封装光学(CPO);PCB概念;5G;毫米波雷达;汽车电子;华为概念;2025年报预增;工业互联网;沪股通;融资融券,17,688183.SH,10
688717,虚拟电厂;光伏概念;储能;锂电池概念;充电桩;人民币贬值受益;沪股通;融资融券,17,688717.SH,8
300773,数字货币;移动支付;跨境支付(CIPS);蚂蚁集团概念;云计算;数据确权;区块链;AI智能体;数据要素;互联网金融;鸿蒙概念;腾讯概念;数字经济;DeepSeek概念;人工智能;华为概念;AI应用;跨境电商;智能物流;智能穿戴;小米概念;参股保险;2025年报预增;深股通;融资融券,33,300773.SZ,25
300522,光刻胶;PCB概念;染料;5G;石墨烯;固态电池;储能;股权转让(并购重组),33,300522.SZ,8
920799,蚂蚁集团概念;华为昇腾;鸿蒙概念;量子科技;融资融券;跨境支付(CIPS);虚拟现实;虚拟数字人;百度概念;汽车电子;数字货币;星闪概念;华为鲲鹏;华为欧拉;华为概念;信创;人工智能;互联网金融;上海自贸区;ChatGPT概念,151,920799.BJ,20
300813,细胞免疫治疗;医疗器械概念;食品安全;共同富裕示范区;机器人概念,33,300813.SZ,5
002083,氟化工概念;锂电池概念;硅能源;新能源汽车;人民币贬值受益;三胎概念;托育服务;回购增持再贷款概念;军工;中俄贸易概念;军民融合;创投;一带一路;海工装备;高铁;国企改革;深股通,33,002083.SZ,17
600499,盐湖提锂;光伏建筑一体化;人民币贬值受益;同花顺出海50;锂电池概念;宁德时代概念;储能;新型工业化;高端装备;一带一路;机器人概念;充电桩;海工装备;沪股通;融资融券,17,600499.SH,15
300191,可燃冰;俄乌冲突概念;天然气;新疆振兴;深股通;融资融券;海工装备,33,300191.SZ,7
300862,商业航天;智慧城市;军工;华为概念;毫米波雷达;PM2.5;传感器;专精特新;芯片概念;碳中和;PPP概念;融资融券,33,300862.SZ,12
300750,钠离子电池;同花顺漂亮100;固态电池;动力电池回收;宁德时代概念;锂电池概念;储能;长安汽车概念;特斯拉概念;小米汽车;华为汽车;新能源汽车;换电概念;同花顺出海50;同花顺新质50;融资融券;深股通,33,300750.SZ,17
002517,网络游戏;电子竞技;手机游戏;AIGC概念;NFT概念;元宇宙;鸿蒙概念;IP经济(谷子经济);腾讯概念;虚拟现实;人工智能;区块链;数字经济;华为概念;AI应用;AI眼镜;深股通;融资融券,33,002517.SZ,18
603217,可降解塑料;专精特新;合成生物;固态电池,17,603217.SH,4
300502,共封装光学(CPO);5G;芯片概念;中国AI 50;数据中心;深股通;2025年报预增;人民币贬值受益;西部大开发;融资融券,33,300502.SZ,10
000559,人形机器人;低空经济;无人机;机器人概念;小米汽车;军工;工业互联网;小米概念;比亚迪概念;汽车电子;新能源汽车;MCU芯片;储能;锂电池概念;固态电池;绿色电力;深股通;融资融券;股权转让(并购重组),33,000559.SZ,19
600847,西部大开发,17,600847.SH,1
603256,PCB概念;华为手机;苹果概念;5G;消费电子概念;芯片概念;2025年报预增;专精特新;海峡两岸;华为概念;沪股通,17,603256.SH,11
002066,核电;央企国企改革;国企改革;碳中和;证金持股,33,002066.SZ,5
920171,AI应用;雄安新区;融资融券;网络安全;移动支付;百度概念;智慧政务;智慧城市;数据要素;数据中心;数字乡村;华为概念;养老概念;光纤概念;信创;京津冀一体化;互联网金融;乡村振兴;互联网保险;DeepSeek概念,151,920171.BJ,20
002709,钠离子电池;氟化工概念;固态电池;动力电池回收;锂电池概念;宁德时代概念;有机硅概念;PEEK材料;特斯拉概念;同花顺漂亮100;比亚迪概念;2025年报预增;回购增持再贷款概念;深股通;融资融券,33,002709.SZ,15
002837,液冷服务器;英伟达概念;中国AI 50;数据中心;东数西算(算力);比亚迪概念;新能源汽车;华为概念;充电桩;储能;军工;粤港澳大湾区;腾讯概念;阿里巴巴概念;抖音概念(字节概念);家用电器;高铁;冷链物流;融资融券;深股通,33,002837.SZ,20
