code,所属概念,所属概念数量,market_code,股票代码
300118,钙钛矿电池;TOPCON电池;HJT电池;商业航天;硅能源;光伏概念;光伏建筑一体化;储能;华为概念;绿色电力;共同富裕示范区;乡村振兴;深股通;融资融券,14,33,300118.SZ
603993,金属钴;金属铜;金属镍;小金属概念;黄金概念;盐湖提锂;磷化工;同花顺出海50;宁德时代概念;同花顺漂亮100;沪股通;融资融券;人民币贬值受益,13,17,603993.SH
000737,金属铜;黄金概念;小金属概念;PCB概念;国企改革;融资融券;深股通,7,33,000737.SZ
600219,金属回收;锂电池概念;宁德时代概念;高股息精选;证金持股;一带一路;高铁;新能源汽车;沪股通;融资融券;人民币贬值受益;大飞机;机器人概念,13,17,600219.SH
300383,算力租赁;抖音概念(字节概念);云计算;AIGC概念;百度概念;MLOps概念;东数西算(算力);华为鲲鹏;区块链;DeepSeek概念;数字经济;华为概念;数据中心;京津冀一体化;工业互联网;液冷服务器;深股通;融资融券,18,33,300383.SZ
000758,金属锌;金属铜;金属铅;小金属概念;金属回收;黄金概念;金属钴;稀土永磁;回购增持再贷款概念;一带一路;国企改革;央企国企改革;人民币贬值受益;深股通;融资融券;中字头股票,16,33,000758.SZ
002865,BC电池;TOPCON电池;钙钛矿电池;商业航天;光伏概念;海南自贸区;新能源汽车;融资融券;深股通,9,33,002865.SZ
300191,可燃冰;俄乌冲突概念;天然气;新疆振兴;海工装备;深股通;融资融券,7,33,300191.SZ
002603,禽流感;流感;仿制药一致性评价;医药电商;幽门螺杆菌概念;创新药;阿尔茨海默概念;养老概念;京津冀一体化;深股通;融资融券,11,33,002603.SZ
603050,智能电网;虚拟电厂;高压快充;光伏概念;充电桩;储能;特斯拉概念;雄安新区;京津冀一体化;沪股通;融资融券,11,17,603050.SH
688399,基因测序;猴痘概念;医药电商;流感;维生素;肝炎概念;医疗器械概念;智能医疗;专精特新;沪股通;融资融券,11,17,688399.SH
600490,金属锌;黄金概念;金属铜;小金属概念;金属镍;金属钴;锂电池概念;俄乌冲突概念;一带一路;沪股通;融资融券,11,17,600490.SH
688258,AI应用;AI智能体;华为鲲鹏;华为欧拉;云计算;信创;人工智能;华为概念;物联网;华为海思概念股;芯片概念;回购增持再贷款概念;沪股通;融资融券,14,17,688258.SH
002319,横琴新区;石墨烯;柔性屏(折叠屏);光伏概念;HJT电池;文化传媒概念,6,33,002319.SZ
002950,医药电商;医美概念;三胎概念;医疗器械概念;回购增持再贷款概念;人民币贬值受益;深股通,7,33,002950.SZ
300601,生物疫苗;创新药;肝炎概念;流感;合成生物;深股通;融资融券,7,33,300601.SZ
605196,人民币贬值受益;光伏概念;回购增持再贷款概念;智能电网;海工装备;中俄贸易概念;一带一路;工业互联网;沪股通,9,17,605196.SH
301525,人形机器人;汽车热管理;汽车电子;机器人概念;新能源汽车;专精特新;空气能热泵;数据中心;冷链物流;深股通;融资融券,11,33,301525.SZ
600259,稀土永磁;小金属概念;金属铜;海南自贸区;央企国企改革;粤港澳大湾区;国企改革;融资融券;中字头股票;沪股通,10,17,600259.SH
688521,汽车芯片;国家大基金持股;MCU芯片;先进封装;智能音箱;东数西算(算力);AI眼镜;芯片概念;阿里巴巴概念;腾讯概念;虚拟现实;数字货币;人工智能;物联网;无人驾驶;上海自贸区;沪股通;融资融券,18,17,688521.SH
002490,页岩气;天然气;国企改革;氢能源;海工装备;摘帽;深股通;股权转让(并购重组),8,33,002490.SZ
301609,柔性直流输电;特高压;智能电网;注册制次新股;水利;充电桩;核电;储能;专精特新;深股通;新股与次新股;融资融券,12,33,301609.SZ
301393,CRO概念;减肥药;创新药;深股通;融资融券,5,33,301393.SZ
603718,牙科医疗;基因测序;医疗器械概念;动物疫苗;股权转让(并购重组);沪股通;融资融券,7,17,603718.SH
300198,海峡两岸;地下管网;新型城镇化;PPP概念;ST板块;污水处理;水利;一带一路;无人驾驶;锂电池概念;汽车热管理;新能源汽车;减速器;核电,14,33,300198.SZ
002809,环氧丙烷;丙烯酸;装配式建筑;雄安新区;雅下水电概念;粤港澳大湾区;水利;京津冀一体化;专精特新,9,33,002809.SZ
301205,共封装光学(CPO);芯片概念;5G;数据中心;人民币贬值受益;深股通;融资融券,7,33,301205.SZ
688316,华为欧拉;智谱AI;华为鲲鹏;智慧政务;信创;云计算;网络安全;算力租赁;东数西算(算力);数字经济;互联网金融;DeepSeek概念;低空经济;华为概念;物联网;数据中心;英伟达概念;无人驾驶;融资融券,19,17,688316.SH
688090,新型工业化;人工智能;传感器;专精特新;机器视觉;数字孪生;机器人概念;比亚迪概念;芯片概念;新能源汽车;AI应用;融资融券,12,17,688090.SH
002007,禽流感;流感;生物疫苗;肝炎概念;创新药;重组蛋白;深股通;融资融券,8,33,002007.SZ
000878,金属铜;黄金概念;小金属概念;期货概念;西部大开发;央企国企改革;国企改革;深股通;融资融券,9,33,000878.SZ
603012,高端装备;新能源汽车;长三角一体化;中俄贸易概念;煤炭概念;工业互联网;华为概念;人工智能;AIGC概念;融资融券,10,17,603012.SH
688668,铜缆高速连接;液冷服务器;英伟达概念;5G;比亚迪概念;新能源汽车;机器视觉;长安汽车概念;商业航天;2025年报预增;融资融券;沪股通,12,17,688668.SH
600841,农机;汽车芯片;新能源汽车;换电概念;上海国企改革;氢能源;无人驾驶;工业互联网;国企改革;数据中心;沪股通,11,17,600841.SH
300895,数据安全;量子科技;网络安全;国资云;云计算;抖音概念(字节概念);数据要素;数据确权;算力租赁;阿里巴巴概念;东数西算(算力);DeepSeek概念;数字经济;数字孪生;华为概念;京津冀一体化;物联网;数据中心;电力物联网;核电;国企改革;深股通;融资融券,23,33,300895.SZ
001360,黄金概念;固废处理;高端装备;金属回收;一带一路;专精特新;雅下水电概念;锂电池概念;机器视觉;融资融券,10,33,001360.SZ
920367,人工智能;机器人概念;AI应用;医药电商;流感;融资融券;维生素;创新药;华为鲲鹏;智能医疗,10,151,920367.BJ
688108,医疗器械概念;专精特新;沪股通;融资融券,4,17,688108.SH
688003,先进封装;第三代半导体;低空经济;苹果概念;光伏概念;芯片概念;消费电子概念;高端装备;PCB概念;新能源汽车;专精特新;英伟达概念;机器视觉;无人驾驶;小米概念;人形机器人;机器人概念;车联网(车路协同);新型工业化;智能物流;人工智能;DeepSeek概念;百度概念;沪股通;融资融券,25,17,688003.SH
002637,污水处理;消毒剂;一带一路;回购增持再贷款概念;食品安全;深股通,6,33,002637.SZ
688526,禽流感;动物疫苗;合成生物;宠物经济;生物疫苗;生态农业;转基因;沪股通;融资融券,9,17,688526.SH
920493,商业航天;数据中心;量子科技;算力租赁;在线教育;华为概念;阿里巴巴概念;华为昇腾;飞行汽车(eVTOL);智谱AI;华为鲲鹏;比亚迪概念;云计算;融资融券;数字经济;百度概念;长安汽车概念;低空经济;DeepSeek概念;AIGC概念;东数西算(算力),21,151,920493.BJ
920368,一带一路;融资融券;光伏概念;第三代半导体;TOPCON电池;BC电池;HJT电池;硅能源,8,151,920368.BJ
300903,存储芯片;先进封装;MiniLED;共封装光学(CPO);PCB概念;毫米波雷达;消费电子概念;汽车电子;芯片概念;小米概念;血氧仪;5G;专精特新;比亚迪概念;新能源汽车;无人机;机器人概念;军工;锂电池概念;充电桩;储能;钠离子电池;数据中心;粤港澳大湾区;工业互联网;深股通;融资融券,27,33,300903.SZ
600938,同花顺中特估100;页岩气;天然气;同花顺出海50;国企改革;央企国企改革;海工装备;风电;沪股通;中字头股票;融资融券,11,17,600938.SH
