所属概念,code,股票代码,所属概念数量,market_code
创新药;仿制药一致性评价;肝炎概念;医药电商;幽门螺杆菌概念;流感;毛发医疗;合成生物;医疗器械概念;西部大开发;深股通;融资融券,002422,002422.SZ,12,33
医疗器械概念;3D打印;沪股通;融资融券,688161,688161.SH,4,17
CRO概念;减肥药;智能医疗;人工智能;创新药;AI应用;合成生物;回购增持再贷款概念;沪股通;融资融券,688202,688202.SH,10,17
创新药;沪股通;融资融券,688177,688177.SH,3,17
啤酒概念;海峡两岸;回购增持再贷款概念;股权转让(并购重组),002969,002969.SZ,4,33
共封装光学(CPO);光纤概念;5G;芯片概念;数据中心;3D打印;量子科技;海工装备;2025年报预增;商业航天;2025三季报预增;卫星导航;无人驾驶;粤港澳大湾区;一带一路;横琴新区;国企改革;股权转让(并购重组);深股通;融资融券,300620,300620.SZ,20,33
汽车芯片;芯片概念;消费电子概念;汽车电子;智能座舱;小米概念;新能源汽车;专精特新;无人驾驶;华为概念;储能;沪股通;融资融券,688141,688141.SH,13,17
创新药;沪股通;融资融券,688192,688192.SH,3,17
化肥;供销社;2025年报预增;一带一路;融资融券;深股通,000893,000893.SZ,6,33
细胞免疫治疗;医疗器械概念;食品安全;共同富裕示范区;机器人概念,300813,300813.SZ,5,33
富士康概念;液冷服务器;苹果概念;消费电子概念;工业母机;华为数字能源;专精特新;新能源汽车;储能;新型工业化;汽车热管理;华为概念;锂电池概念;机器人概念;虚拟现实;回购增持再贷款概念;深股通;融资融券,301086,301086.SZ,18,33
语音技术;物联网;人脸识别;粤港澳大湾区;网络安全;人工智能;信创;数据安全;ST板块;百度概念;区块链;互联网金融;AI应用;物业管理;股权转让(并购重组),300561,300561.SZ,15,33
减肥药;重组蛋白;创新药;肝炎概念;流感;生物疫苗;猴痘概念;医药电商;仿制药一致性评价;智能医疗;三胎概念;DeepSeek概念;粤港澳大湾区;英伟达概念;融资融券;深股通,300723,300723.SZ,16,33
