market_code,所属概念数量,股票代码,code,所属概念
17,15,601177.SH,601177,减速器;农机;工业互联网;参股银行;机器人概念;人形机器人;国企改革;海工装备;风电;军民融合;军工;核电;储能;融资融券;沪股通
33,8,000506.SZ,000506,黄金概念;金属铜;小金属概念;一带一路;股权转让(并购重组);人民币贬值受益;国企改革;深股通
33,29,002771.SZ,002771,虚拟数字人;语音技术;AIGC概念;在线教育;电力物联网;算力租赁;阿里巴巴概念;人脸识别;东数西算(算力);AI应用;信创;时空大数据;数据中心(AIDC);虚拟现实;数字经济;高压快充;充电桩;人工智能;华为概念;DeepSeek概念;物联网;液冷服务器;储能;京津冀一体化;风电;工业互联网;智能医疗;军工;军民融合
33,21,002536.SZ,002536,液冷服务器;芯片概念;汽车电子;数据中心(AIDC);汽车热管理;华为概念;无人机;新能源汽车;特斯拉概念;小米汽车;低空经济;充电桩;储能;机器人概念;海峡两岸;长安汽车概念;燃料电池;人民币贬值受益;一带一路;深股通;融资融券
17,8,603278.SH,603278,人形机器人;高端装备;商业航天;一带一路;海峡两岸;风电;生物质能发电;绿色电力
17,4,605028.SH,605028,绿色电力;固废处理;生物质能发电;高股息精选
17,6,603726.SH,603726,先进封装;家用电器;人形机器人;空气能热泵;机器人概念;创投
33,11,002472.SZ,002472,减速器;机器人概念;高端装备;新能源汽车;比亚迪概念;智能家居;高铁;创投;绿色电力;融资融券;深股通
17,19,603051.SH,603051,钙钛矿电池;TOPCON电池;HJT电池;BC电池;传感器;光伏概念;比亚迪概念;智能穿戴;商业航天;锂电池概念;人形机器人;固态电池;柔性屏(折叠屏);OLED;POE胶膜;氢能源;水利;光伏建筑一体化;融资融券
33,12,002981.SZ,002981,医疗器械概念;一带一路;人民币贬值受益;智能音箱;机器人概念;虚拟现实;储能;智能穿戴;消费电子概念;苹果概念;无人机;无线耳机
33,10,002283.SZ,002283,比亚迪概念;新能源汽车;高端装备;工业互联网;机器人概念;减速器;绿色电力;深股通;高股息精选;融资融券
33,7,002294.SZ,002294,减肥药;创新药;仿制药一致性评价;医疗器械概念;参股保险;深股通;融资融券
17,6,603559.SH,603559,时空大数据;云计算;数据中心(AIDC);东数西算(算力);5G;摘帽
33,10,002988.SZ,002988,汽车热管理;建筑节能;华为汽车;智能物流;新能源汽车;比亚迪概念;储能;商业航天;光伏概念;深股通
17,15,603596.SH,603596,华为汽车;长安汽车概念;人形机器人;特斯拉概念;飞行汽车(eVTOL);无人驾驶;机器人概念;低空经济;新能源汽车;比亚迪概念;汽车电子;创投;专精特新;融资融券;沪股通
17,8,603730.SH,603730,长安汽车概念;特斯拉概念;新能源汽车;比亚迪概念;人民币贬值受益;上海自贸区;沪股通;融资融券
33,34,002635.SZ,002635,同花顺果指数;柔性屏(折叠屏);苹果概念;MR(混合现实);无线耳机;智能音箱;消费电子概念;无线充电;智能穿戴;MiniLED;汽车电子;5G;小米概念;OLED;传感器;虚拟现实;特斯拉概念;华为概念;新能源汽车;高压快充;海峡两岸;机器人概念;智能家居;无人机;充电桩;元宇宙;储能;人民币贬值受益;燃料电池;一带一路;氢能源;深股通;共封装光学(CPO);融资融券
33,9,000975.SZ,000975,金属铅;金属锌;黄金概念;小金属概念;西部大开发;国企改革;2026一季报预增;深股通;融资融券
33,23,002090.SZ,002090,电力物联网;虚拟电厂;智能电网;换电概念;智慧城市;信创;光伏建筑一体化;智慧政务;安防;储能;人工智能;数字经济;垃圾分类;核电;风电;建筑节能;数据中心(AIDC);碳中和;华为概念;机器人概念;氢能源;5G;股权转让(并购重组)
17,11,603012.SH,603012,长三角一体化;高端装备;中俄贸易概念;新能源汽车;工业互联网;华为概念;人工智能;AIGC概念;煤炭概念;沪股通;融资融券
33,18,002520.SZ,002520,工业母机;减速器;人形机器人;新型工业化;航空发动机;成飞概念;高端装备;机器人概念;新能源汽车;大飞机;军民融合;数字经济;共同富裕示范区;人民币贬值受益;一带一路;风电;深股通;融资融券
17,4,603798.SH,603798,氢能源;燃料电池;军民融合;军工
33,25,002471.SZ,002471,航空发动机;军民融合;大飞机;水利;海工装备;军工;高端装备;低空经济;商业航天;一带一路;柔性直流输电;数字经济;无人机;核电;机器人概念;风电;创投;充电桩;智能电网;石墨烯;光伏概念;东数西算(算力);数据中心(AIDC);深股通;融资融券
33,20,002292.SZ,002292,文化传媒概念;虚拟数字人;手机游戏;IP经济(谷子经济);网络游戏;NFT概念;ChatGPT概念;多模态AI;元宇宙;跨境电商;腾讯概念;独角兽概念;人工智能;乡村振兴;三胎概念;虚拟现实;智能穿戴;深股通;融资融券;2026中报预增
33,12,002067.SZ,002067,数字孪生;机器人概念;托育服务;数字经济;光伏建筑一体化;一带一路;创投;烟草;绿色电力;长三角一体化;深股通;融资融券
33,28,300680.SZ,300680,减速器;汽车热管理;人形机器人;华为汽车;飞行汽车(eVTOL);军民融合;卫星导航;特斯拉概念;无人机;小米汽车;商业航天;机器人概念;军工;低空经济;传感器;PEEK材料;无人驾驶;智能座舱;新能源汽车;比亚迪概念;毫米波雷达;专精特新;燃料电池;华为概念;6G概念;蚂蚁集团概念;氢能源;深股通
17,18,688165.SH,688165,减速器;人形机器人;新型工业化;机器视觉;机器人概念;新能源汽车;华为欧拉;专精特新;工业互联网;人工智能;华为概念;富士康概念;锂电池概念;光伏概念;氢能源;国企改革;沪股通;融资融券
