股票代码,所属概念数量,所属概念,code,market_code
603178.SH,14,减速器;汽车热管理;飞行汽车(eVTOL);机器人概念;低空经济;长安汽车概念;共同富裕示范区;数字经济;无人驾驶;华为汽车;新能源汽车;比亚迪概念;融资融券;沪股通,603178,17
300590.SZ,18,车联网(车路协同);AI智能体;信创;智慧城市;物联网;人工智能;智能座舱;无人驾驶;工业互联网;卫星导航;5G;芯片概念;智能物流;专精特新;WiFi 6;人民币贬值受益;两轮车;深股通,300590,33
688692.SH,7,信创;数据要素;AI语料;华为概念;智能电网;沪股通;融资融券,688692,17
002038.SZ,20,仿制药一致性评价;创新药;医药电商;减肥药;流感;幽门螺杆菌概念;肝炎概念;生物疫苗;辅助生殖;猴痘概念;医美概念;民营医院;基因测序;NMN概念;工业大麻;国企改革;京津冀一体化;创投;深股通;融资融券,002038,33
688141.SH,14,汽车芯片;芯片概念;消费电子概念;汽车电子;小米概念;智能座舱;专精特新;锂电池概念;华为概念;无人驾驶;新能源汽车;储能;沪股通;融资融券,688141,17
300768.SZ,26,华为鲲鹏;鸿蒙概念;数据安全;信创;智慧政务;财税数字化;云计算;网络安全;国产操作系统;AI智能体;腾讯概念;DeepSeek概念;人工智能;物联网;ETC;安防;东数西算(算力);数字水印;华为概念;工业互联网;数据中心(AIDC);智能电网;新型工业化;5G;深股通;融资融券,300768,33
002207.SZ,7,页岩气;天然气;俄乌冲突概念;ST板块;新疆振兴;国企改革;西部大开发,002207,33
688343.SH,29,华为昇腾;算力租赁;东数西算(算力);华为鲲鹏;多模态AI;信创;智慧政务;阿里巴巴概念;ChatGPT概念;人脸识别;鸿蒙概念;AI智能体;车联网(车路协同);安防;华为概念;机器视觉;智慧城市;芯片概念;智能座舱;智能穿戴;DeepSeek概念;AI眼镜;人工智能;低空经济;消费电子概念;机器人概念;人形机器人;沪股通;融资融券,688343,17
603065.SH,3,专精特新;光伏概念;职业教育,603065,17
688262.SH,29,汽车芯片;MCU芯片;存储芯片;国家大基金持股;先进封装;芯片概念;无线充电;汽车电子;智能座舱;商业航天;东数西算(算力);星闪概念;量子科技;物联网;智能电网;无人驾驶;安防;网络安全;比亚迪概念;车联网(车路协同);信创;数据安全;电子身份证;数字货币;鸿蒙概念;长安汽车概念;AI PC;沪股通;融资融券,688262,17
600882.SH,6,乳业;三胎概念;数据要素;AI智能体;沪股通;融资融券,600882,17
