所属概念数量,股票代码,market_code,code,所属概念
9,688605.SH,17,688605,光刻机;中芯国际概念;芯片概念;专精特新;商业航天;光伏概念;医疗器械概念;沪股通;融资融券
8,300522.SZ,33,300522,染料;光刻胶;石墨烯;固态电池;5G;储能;PCB概念;股权转让(并购重组)
12,688290.SH,17,688290,专精特新;军工信息化;机器人概念;军工;核污染防治;人形机器人;军民融合;DeepSeek概念;核电;可控核聚变;沪股通;融资融券
21,301511.SZ,33,301511,PET铜箔;PCB概念;共封装光学(CPO);存储芯片;华为数字能源;固态电池;5G;宁德时代概念;柔性屏(折叠屏);消费电子概念;MiniLED;锂电池概念;储能;专精特新;比亚迪概念;华为概念;军工;新能源汽车;无人机;深股通;融资融券
8,301592.SZ,33,301592,军工信息化;军工;西部大开发;无人机;芯片概念;存储芯片;深股通;融资融券
11,300254.SZ,33,300254,基因测序;流感;三胎概念;医疗器械概念;肝炎概念;养老概念;维生素;智能医疗;仿制药一致性评价;创新药;医药电商
11,688722.SH,17,688722,人形机器人;机器人概念;大飞机;专精特新;军工;商业航天;医疗器械概念;海工装备;国企改革;央企国企改革;融资融券
11,301611.SZ,33,301611,光刻机;存储芯片;第三代半导体;芯片概念;OLED;专精特新;锂电池概念;燃料电池;医疗器械概念;深股通;融资融券
10,688205.SH,17,688205,共封装光学(CPO);F5G概念;光纤概念;芯片概念;5G;数据中心(AIDC);东数西算(算力);专精特新;沪股通;融资融券
16,300814.SZ,33,300814,共封装光学(CPO);铜缆高速连接;先进封装;PCB概念;MiniLED;5G;毫米波雷达;汽车电子;华为数字能源;数据中心(AIDC);新能源汽车;华为概念;华为汽车;一带一路;深股通;融资融券
17,688261.SH,17,688261,第三代半导体;芯片概念;5G;液冷服务器;数据中心(AIDC);高压快充;东数西算(算力);光伏概念;充电桩;专精特新;比亚迪概念;储能;新能源汽车;机器人概念;人形机器人;沪股通;融资融券
13,301286.SZ,33,301286,芯片概念;商业航天;成飞概念;华为概念;军工;宁德时代概念;军民融合;2025年报预增;医疗器械概念;雅下水电概念;西部大开发;深股通;融资融券
11,688610.SH,17,688610,PCB概念;MiniLED;AI眼镜;芯片概念;机器视觉;机器人概念;光伏概念;锂电池概念;2025年报预增;基因测序;融资融券
8,688781.SH,17,688781,科创次新股;注册制次新股;智能穿戴;芯片概念;AI眼镜;OLED;新股与次新股;融资融券
12,002263.SZ,33,002263,石墨烯;PET铜箔;军工;共同富裕示范区;特高压;新能源汽车;比亚迪概念;柔性直流输电;国企改革;光伏概念;深股通;融资融券
8,002225.SZ,33,002225,中俄贸易概念;燃料电池;小金属概念;氢能源;碳中和;证金持股;俄乌冲突概念;深股通
8,000509.SZ,33,000509,工业母机;网络安全;碳交易;信创;人民币贬值受益;碳中和;国企改革;西部大开发
10,600226.SH,17,600226,PCB概念;PET铜箔;比亚迪概念;锂电池概念;创投;腾讯概念;动物疫苗;合成生物;融资融券;沪股通
15,600611.SH,17,600611,网约车;旅游概念;无人驾驶;互联网金融;创投;百度概念;低空经济;云计算;参股券商;算力租赁;物业管理;东数西算(算力);数据中心(AIDC);沪股通;融资融券
11,603330.SH,17,603330,芯片概念;共封装光学(CPO);消费电子概念;汽车电子;POE胶膜;光伏概念;华为概念;比亚迪概念;专精特新;股权转让(并购重组);融资融券
19,002584.SZ,33,002584,光刻胶;消毒剂;氟化工概念;锂电池概念;专精特新;核污染防治;食品安全;粤港澳大湾区;光伏概念;创投;芯片概念;碳中和;磷化工;核电;辅助生殖;煤化工概念;PCB概念;重组蛋白;深股通
3,603065.SH,17,603065,专精特新;职业教育;光伏概念
5,000037.SZ,33,000037,固废处理;核电;储能;粤港澳大湾区;2025年报预增
28,002057.SZ,33,002057,稀土永磁;小金属概念;石墨烯;军工;海工装备;燃料电池;无人机;核电;锂电池概念;专精特新;固态电池;新能源汽车;氢能源;比亚迪概念;消费电子概念;机器人概念;一带一路;中俄贸易概念;人形机器人;央企国企改革;雅下水电概念;房屋检测;国企改革;新疆振兴;化债概念(AMC概念);中字头股票;融资融券;深股通
24,001696.SZ,33,001696,农机;军民融合;航空发动机;两轮车;乡村振兴;数字经济;军工;低空经济;飞行汽车(eVTOL);无人机;西部大开发;工业互联网;燃料电池;商业航天;机器人概念;氢能源;专精特新;新能源汽车;比亚迪概念;储能;锂电池概念;钠离子电池;深股通;融资融券
40,300602.SZ,33,300602,华为手机;富士康概念;华为海思概念股;共封装光学(CPO);苹果概念;AI PC;5G;液冷服务器;AI眼镜;MR(混合现实);数据中心(AIDC);小米概念;华为概念;虚拟现实;宁德时代概念;无人机;比亚迪概念;无人驾驶;光伏概念;特斯拉概念;新能源汽车;人形机器人;石墨烯;充电桩;机器人概念;工业互联网;粤港澳大湾区;储能;锂电池概念;2025年报预增;汽车热管理;一体化压铸;华为汽车;长安汽车概念;智能物流;家用电器;一带一路;物业管理;融资融券;深股通
7,603335.SH,17,603335,动力电池回收;人民币贬值受益;锂电池概念;一体化压铸;宁德时代概念;新能源汽车;融资融券
1,603020.SH,17,603020,烟草
14,002676.SZ,33,002676,一带一路;家用电器;机器人概念;比亚迪概念;工业互联网;广东自贸区;智能家居;新能源汽车;粤港澳大湾区;国企改革;金属回收;光伏概念;汽车电子;深股通
10,600682.SH,17,600682,民营医院;创新药;细胞免疫治疗;养老概念;物业管理;IP经济(谷子经济);基因测序;机器人概念;沪股通;融资融券
14,605018.SH,17,605018,人形机器人;长三角一体化;比亚迪概念;一体化压铸;新能源汽车;机器人概念;光伏概念;飞行汽车(eVTOL);长安汽车概念;低空经济;工业互联网;共同富裕示范区;储能;沪股通
17,600673.SH,17,600673,算力租赁;东数西算(算力);数据中心(AIDC);液冷服务器;华为概念;芯片概念;AI应用;超级电容;储能;人形机器人;锂电池概念;PVDF概念;氟化工概念;消毒剂;沪股通;融资融券;煤炭概念
8,002515.SZ,33,002515,共封装光学(CPO);数据中心(AIDC);芯片概念;共同富裕示范区;人造肉;网红经济;深股通;预制菜
19,600596.SH,17,600596,草甘膦;有机硅概念;硅能源;大豆;锂电池概念;2026一季报预增;转基因;农业种植;玉米;乡村振兴;光伏概念;共同富裕示范区;华为概念;人形机器人;液冷服务器;东数西算(算力);光纤概念;沪股通;融资融券
8,603260.SH,17,603260,有机硅概念;硅能源;石墨电极;光伏概念;长三角一体化;第三代半导体;沪股通;融资融券
5,003026.SZ,33,003026,芯片概念;传感器;硅能源;汽车电子;2025年报预增
9,603002.SH,17,603002,PCB概念;先进封装;5G;英伟达概念;芯片概念;比亚迪概念;海峡两岸;3D打印;沪股通
29,002771.SZ,33,002771,虚拟数字人;在线教育;AIGC概念;电力物联网;语音技术;AI应用;阿里巴巴概念;人脸识别;算力租赁;数字经济;时空大数据;信创;京津冀一体化;人工智能;DeepSeek概念;东数西算(算力);智能医疗;虚拟现实;风电;物联网;工业互联网;充电桩;华为概念;数据中心(AIDC);高压快充;储能;军工;军民融合;液冷服务器
12,600641.SH,17,600641,第三代半导体;存储芯片;芯片概念;OLED;TOPCON电池;光伏概念;固态电池;小金属概念;创投;沪股通;股权转让(并购重组);融资融券
16,603039.SH,17,603039,华为盘古;财税数字化;云办公;鸿蒙概念;AI应用;智慧政务;AI智能体;信创;腾讯概念;DeepSeek概念;数字经济;人工智能;中国AI 50;华为概念;融资融券;沪股通
23,600198.SH,17,600198,汽车芯片;芯片概念;MCU芯片;卫星导航;5G;商业航天;量子科技;无人机;智能穿戴;核电;低空经济;数据安全;车联网(车路协同);网络安全;智慧城市;移动支付;智慧政务;创投;央企国企改革;一带一路;国企改革;股权转让(并购重组);沪股通
17,002254.SZ,33,002254,光纤概念;智能穿戴;锂电池概念;新能源汽车;固态电池;无人机;高铁;军工;机器人概念;军民融合;安防;氢能源;东数西算(算力);风电;国企改革;深股通;融资融券
14,600176.SH,17,600176,PCB概念;2026一季报预增;光伏概念;风电;PEEK材料;沪股通;融资融券;长三角一体化;央企国企改革;一带一路;DeepSeek概念;国企改革;同花顺中特估100;中字头股票
12,603211.SH,17,603211,卫星导航;专精特新;毫米波雷达;比亚迪概念;人形机器人;特斯拉概念;无人驾驶;新能源汽车;机器人概念;智能家居;长三角一体化;沪股通
10,600186.SH,17,600186,算力租赁;东数西算(算力);AI智能体;DeepSeek概念;智能医疗;土壤修复;粮食概念;超级品牌;融资融券;沪股通
16,002585.SZ,33,002585,PET铜箔;OLED;柔性屏(折叠屏);消费电子概念;小米概念;华为概念;新能源汽车;光伏概念;锂电池概念;建筑节能;区块链;可降解塑料;绿色电力;参股银行;融资融券;深股通
19,605111.SH,17,605111,先进封装;汽车芯片;第三代半导体;芯片概念;汽车电子;数据中心(AIDC);东数西算(算力);光伏概念;无人机;比亚迪概念;无人驾驶;充电桩;宁德时代概念;专精特新;新能源汽车;低空经济;机器人概念;融资融券;沪股通
24,002970.SZ,33,002970,EDR概念;汽车电子;智能座舱;数据中心(AIDC);专精特新;机器视觉;无人驾驶;比亚迪概念;卫星导航;新能源汽车;星闪概念;毫米波雷达;车联网(车路协同);物联网;人脸识别;云计算;粤港澳大湾区;人工智能;多模态AI;鸿蒙概念;垃圾分类;智能物流;一带一路;深股通
12,603663.SH,17,603663,稀土永磁;芯片概念;小金属概念;宁德时代概念;固态电池;一体化压铸;核电;专精特新;海峡两岸;氢能源;沪股通;融资融券
3,001215.SZ,33,001215,三胎概念;海峡两岸;预制菜
30,600330.SH,17,600330,第三代半导体;先进封装;PCB概念;OLED;5G;无线充电;芯片概念;AI眼镜;MicroLED概念;毫米波雷达;汽车电子;智能穿戴;卫星导航;商业航天;量子科技;数据中心(AIDC);军工;光伏概念;充电桩;新能源汽车;储能;锂电池概念;高端装备;长三角一体化;创投;智能物流;融资融券;固废处理;乡村振兴;沪股通
26,002138.SZ,33,002138,PCB概念;共封装光学(CPO);6G概念;无线充电;5G;汽车电子;AI眼镜;消费电子概念;芯片概念;智能穿戴;传感器;小米概念;数据中心(AIDC);无人机;新能源汽车;华为概念;光伏概念;机器人概念;物联网;储能;燃料电池;固态电池;创投;移动支付;深股通;融资融券
34,605589.SH,17,605589,超级电容;PCB概念;先进封装;光刻胶;OLED;存储芯片;6G概念;芯片概念;固态电池;石墨烯;丙烯酸;锂电池概念;钠离子电池;3D打印;储能;商业航天;新能源汽车;军工;硅能源;核电;高端装备;染料;代糖概念;风电;大飞机;高铁;建筑节能;绿色电力;光伏建筑一体化;合成生物;CRO概念;创新药;沪股通;融资融券
37,002362.SZ,33,002362,电子身份证;在线教育;数据要素;AI应用;智慧政务;人脸识别;鸿蒙概念;信创;AI智能体;ChatGPT概念;语音技术;虚拟数字人;AI语料;智慧城市;人工智能;华为鲲鹏;数字经济;DeepSeek概念;多模态AI;安防;云计算;智能医疗;华为概念;跨境电商;京津冀一体化;机器人概念;机器视觉;IP经济(谷子经济);医疗器械概念;比亚迪概念;PM2.5;基因测序;消费电子概念;芯片概念;电子纸;融资融券;深股通
5,603163.SH,17,603163,中芯国际概念;芯片概念;富士康概念;海峡两岸;一带一路
8,002134.SZ,33,002134,PCB概念;专精特新;军工;新能源汽车;大飞机;天津自贸区;京津冀一体化;深股通
17,002048.SZ,33,002048,减速器;华为汽车;人形机器人;PEEK材料;长安汽车概念;小米汽车;特斯拉概念;智能座舱;机器人概念;新能源汽车;比亚迪概念;小米概念;汽车电子;一带一路;宁德时代概念;深股通;融资融券
20,002837.SZ,33,002837,液冷服务器;中国AI 50;数据中心(AIDC);英伟达概念;东数西算(算力);军工;华为概念;比亚迪概念;新能源汽车;充电桩;储能;抖音概念(字节概念);腾讯概念;阿里巴巴概念;粤港澳大湾区;高铁;家用电器;冷链物流;融资融券;深股通
32,600487.SH,17,600487,光纤概念;F5G概念;共封装光学(CPO);太赫兹;6G概念;液冷服务器;5G;特高压;柔性直流输电;芯片概念;量子科技;数据中心(AIDC);海工装备;军工;长三角一体化;无人驾驶;华为概念;智能电网;新能源汽车;风电;小米汽车;水利;网络安全;人形机器人;机器人概念;同花顺出海50;智慧城市;一带一路;沪股通;融资融券;创投;DeepSeek概念
6,002636.SZ,33,002636,PCB概念;2025年报预增;医疗器械概念;消毒剂;深股通;融资融券
15,600183.SH,17,600183,PCB概念;共封装光学(CPO);先进封装;存储芯片;MiniLED;5G;汽车电子;毫米波雷达;芯片概念;商业航天;华为概念;新能源汽车;沪股通;融资融券;2025年报预增
12,603256.SH,17,603256,PCB概念;华为手机;苹果概念;5G;消费电子概念;芯片概念;数据中心(AIDC);专精特新;华为概念;2025年报预增;海峡两岸;沪股通
22,002080.SZ,33,002080,PCB概念;6G概念;5G;固态电池;宁德时代概念;商业航天;锂电池概念;无人机;军工;新能源汽车;2025年报预增;海工装备;燃料电池;风电;氢能源;污水处理;深股通;一带一路;央企国企改革;国企改革;中字头股票;融资融券
