market_code,所属概念数量,所属概念,股票代码,code
33,7,ST板块;芯片概念;粤港澳大湾区;车联网(车路协同);比亚迪概念;智慧灯杆;智慧城市,300506.SZ,300506
33,2,机器人概念;股权转让(并购重组),300720.SZ,300720
33,25,抖音概念(字节概念);时空大数据;手机游戏;数据要素;网络游戏;人脸识别;人工智能;智慧城市;养老概念;车联网(车路协同);安防;军民融合;机器视觉;低空经济;军工;数据中心;5G;粤港澳大湾区;无人机;PPP概念;乡村振兴;ST板块;无人驾驶;新型工业化;机器人概念,300044.SZ,300044
33,15,海峡两岸;家庭医生;文化传媒概念;智慧城市;数字经济;独角兽概念;创投;智能医疗;人工智能;国企改革;充电桩;东数西算(算力);医疗器械概念;数据中心;摘帽,300300.SZ,300300
17,9,减速器;人形机器人;同花顺新质50;新型工业化;机器人概念;中国AI 50;专精特新;沪股通;融资融券,688017.SH,688017
151,7,智能家居;鸿蒙概念;物联网;融资融券;人民币贬值受益;跨境电商;家用电器,920926.BJ,920926
17,11,量子科技;网络安全;数据安全;信创;数据要素;军工信息化;工业互联网;电力物联网;虚拟电厂;智能电网;融资融券,688171.SH,688171
33,5,流感;肝炎概念;猴痘概念;合成生物;融资融券,301089.SZ,301089
33,9,金属铅;金属锌;黄金概念;金属铜;金属镍;小金属概念;文化传媒概念;深股通;融资融券,000603.SZ,000603
17,6,创新药;生物疫苗;猴痘概念;AIGC概念;沪股通;融资融券,688180.SH,688180
17,6,HJT电池;TOPCON电池;BC电池;光伏概念;沪股通;融资融券,688429.SH,688429
17,6,无人驾驶;专精特新;工业互联网;华为概念;DeepSeek概念;融资融券,688367.SH,688367
33,21,中芯国际概念;OLED;光刻机;电子纸;柔性屏(折叠屏);AI PC;光伏概念;3D打印;芯片概念;智能穿戴;专精特新;小米概念;虚拟现实;华为概念;烟草;元宇宙;人工智能;体育产业;IP经济(谷子经济);深股通;融资融券,300331.SZ,300331
17,11,农机;汽车芯片;新能源汽车;换电概念;上海国企改革;氢能源;无人驾驶;工业互联网;国企改革;数据中心;沪股通,600841.SH,600841
33,15,苹果概念;高端装备;核污染防治;军工;宁德时代概念;无人机;军民融合;机器人概念;储能;工业互联网;锂电池概念;无人驾驶;智能电网;电力物联网;深股通,300201.SZ,300201
151,11,机器视觉;数字孪生;钙钛矿电池;机器人概念;光伏概念;人工智能;融资融券;无人机;储能;专精特新;云计算,920414.BJ,920414
17,14,华为欧拉;华为鲲鹏;云计算;数据要素;数据安全;信创;腾讯概念;阿里巴巴概念;互联网金融;数字经济;DeepSeek概念;华为概念;专精特新;融资融券,688435.SH,688435
