股票代码,market_code,所属概念,所属概念数量,code
688123.SH,17,存储芯片;汽车芯片;中芯国际概念;汽车电子;无线耳机;芯片概念;AI眼镜;消费电子概念;智能座舱;智能穿戴;小米概念;数据中心;华为概念;专精特新;比亚迪概念;新型烟草(电子烟);特斯拉概念;人民币贬值受益;沪股通;融资融券,20,688123
600400.SH,17,养老概念;参股银行;独角兽概念;互联网金融;工业互联网;机器人概念;军工;沪股通;融资融券,9,600400
603030.SH,17,建筑节能;装配式建筑;新型城镇化;养老概念;跨境电商;长三角一体化;一带一路;智能家居;人工智能;物联网,10,603030
002640.SZ,33,互联网金融;拼多多概念;数字经济;网红经济;跨境电商;三胎概念;人民币贬值受益;无线耳机;深股通,9,002640
920156.BJ,151,储能;2026一季报预增;专精特新;新股与次新股;融资融券,5,920156
601106.SH,17,商业航天;国产航母;军民融合;军工;核电;高端装备;工业母机;风电;中字头股票;特斯拉概念;央企国企改革;一带一路;金属镍;国企改革;小金属概念;黑龙江自贸区;同花顺中特估100;沪股通;融资融券,19,601106
600208.SH,17,黄金概念;芯片概念;长三角一体化;知识产权保护;参股保险;乡村振兴;区块链;数据确权;互联网金融;参股银行;独角兽概念;创投;共同富裕示范区;参股券商;国企改革;Web3.0;NFT概念;元宇宙;期货概念;沪股通;融资融券;煤炭概念,22,600208
600052.SH,17,文化传媒概念;体育产业;国企改革;储能;锂电池概念,5,600052
688159.SH,17,算力租赁;云计算;东数西算(算力);信创;智慧政务;阿里巴巴概念;AI智能体;数据要素;鸿蒙概念;星闪概念;车联网(车路协同);存储芯片;数据中心;华为概念;智慧城市;物联网;5G;人工智能;电力物联网;低空经济;专精特新;机器人概念;无人机;比亚迪概念;粤港澳大湾区;智能电网;水利;沪股通;融资融券,29,688159
601588.SH,17,物业管理;京津冀一体化;养老概念;国企改革;数字经济;回购增持再贷款概念;小米概念;沪股通;融资融券,9,601588
688025.SH,17,共封装光学(CPO);光纤概念;PCB概念;苹果概念;MR(混合现实);芯片概念;钙钛矿电池;3D打印;虚拟现实;TOPCON电池;机器视觉;专精特新;比亚迪概念;华为概念;光伏概念;2025年报预增;宁德时代概念;固态电池;沪股通;融资融券,20,688025
