code,market_code,股票代码,所属概念数量,所属概念
600881,17,600881.SH,15,物业管理;体育产业;水泥概念;参股银行;国企改革;参股券商;医疗器械概念;医药电商;生物疫苗;煤炭概念;禽流感;创新药;沪股通;融资融券;股权转让(并购重组)
600819,17,600819.SH,9,建筑节能;钙钛矿电池;光伏概念;上海自贸区;国企改革;上海国企改革;新能源汽车;比亚迪概念;沪股通
600382,17,600382.SH,8,PPP概念;参股银行;新能源汽车;白酒概念;2025年报预增;小金属概念;无人机;股权转让(并购重组)
603124,17,603124.SH,7,PCB概念;PET铜箔;液冷服务器;工业母机;专精特新;沪股通;融资融券
600714,17,600714.SH,4,小金属概念;西部大开发;央企国企改革;国企改革
603938,17,603938.SH,10,光纤概念;存储芯片;芯片概念;光伏概念;有机硅概念;硅能源;海峡两岸;京津冀一体化;沪股通;融资融券
603859,17,603859.SH,29,智谱AI;军工信息化;信创;ChatGPT概念;云计算;航空发动机;AI智能体;数字孪生;AIGC概念;人形机器人;数据要素;商业航天;新型工业化;华为概念;AI应用;东数西算(算力);大飞机;军工;工业互联网;人工智能;比亚迪概念;军民融合;高端装备;DeepSeek概念;数字经济;5G;核电;京津冀一体化;沪股通
603070,17,603070.SH,7,智能电网;数据中心(AIDC);储能;数字经济;共同富裕示范区;沪股通;融资融券
603159,17,603159.SH,2,特斯拉概念;汽车电子
000668,33,000668.SZ,2,物业管理;摘帽
603823,17,603823.SH,4,光刻胶;PEEK材料;钠离子电池;沪股通
002708,33,002708.SZ,22,智能座舱;人形机器人;汽车电子;股权转让(并购重组);消费电子概念;比亚迪概念;智能穿戴;减速器;AI眼镜;PCB概念;无人驾驶;新能源汽车;机器人概念;飞行汽车(eVTOL);长安汽车概念;低空经济;军工;2025年报预增;回购增持再贷款概念;风电;国企改革;深股通
002254,33,002254.SZ,17,光纤概念;锂电池概念;固态电池;智能穿戴;新能源汽车;无人机;军工;高铁;安防;机器人概念;军民融合;东数西算(算力);氢能源;风电;国企改革;深股通;融资融券
603790,17,603790.SH,4,染料;PEEK材料;换电概念;股权转让(并购重组)
603500,17,603500.SH,9,高铁;家用电器;互联网金融;回购增持再贷款概念;2025年报预增;高端装备;专精特新;无人机;超级电容
600552,17,600552.SH,20,先进封装;OLED;柔性屏(折叠屏);消费电子概念;汽车电子;PCB概念;芯片概念;无线充电;华为概念;商业航天;新能源汽车;光伏概念;锂电池概念;固态电池;有机硅概念;国企改革;央企国企改革;MiniLED;沪股通;融资融券
002613,33,002613.SZ,8,建筑节能;高铁;光伏概念;装配式建筑;钙钛矿电池;高端装备;苹果概念;一带一路
002387,33,002387.SZ,15,MicroLED概念;柔性屏(折叠屏);智能穿戴;OLED;小米概念;虚拟现实;消费电子概念;人脸识别;汽车电子;芯片概念;华为手机;绿色电力;深股通;股权转让(并购重组);融资融券
603166,17,603166.SH,12,减速器;人形机器人;机器人概念;农机;比亚迪概念;新能源汽车;专精特新;AI应用;2025年报预增;西部大开发;融资融券;沪股通
920720,151,920720.BJ,12,专精特新;融资融券;特斯拉概念;比亚迪概念;新能源汽车;小米概念;富士康概念;家用电器;宁德时代概念;华为汽车;减速器;5G
600996,17,600996.SH,17,云计算;数字乡村;算力租赁;文化传媒概念;DeepSeek概念;物联网;人工智能;智能医疗;华为概念;旅游概念;数据中心(AIDC);智能家居;5G;国企改革;西部大开发;沪股通;融资融券
002194,33,002194.SZ,14,6G概念;共封装光学(CPO);5G;毫米波雷达;汽车电子;卫星导航;芯片概念;商业航天;华为概念;军工;职业教育;创投;融资融券;深股通
002786,33,002786.SZ,19,化债概念(AMC概念);华为汽车;新型工业化;机器人概念;虚拟现实;粤港澳大湾区;比亚迪概念;国企改革;小米概念;新能源汽车;宁德时代概念;华为概念;高端装备;大飞机;3D打印;消费电子概念;芯片概念;5G;深股通
000608,33,000608.SZ,6,租售同权;物业管理;西部大开发;粤港澳大湾区;摘帽;股权转让(并购重组)
002471,33,002471.SZ,25,航空发动机;大飞机;军民融合;柔性直流输电;水利;核电;海工装备;商业航天;智能电网;军工;低空经济;数字经济;无人机;风电;充电桩;高端装备;机器人概念;一带一路;创投;东数西算(算力);光伏概念;石墨烯;数据中心(AIDC);深股通;融资融券
600973,17,600973.SH,21,智能电网;可控核聚变;超导概念;核电;铜缆高速连接;军工;充电桩;大飞机;无人机;高铁;高端装备;低空经济;新能源汽车;信创;央企国企改革;特斯拉概念;飞行汽车(eVTOL);2026一季报预增;国企改革;沪股通;融资融券
002251,33,002251.SZ,7,免税店;预制菜;统一大市场;冷链物流;融资融券;深股通;智能物流
