所属概念,所属概念数量,market_code,code,股票代码
高股息精选;眼科医疗;民营医院;医美概念;装配式建筑;建筑节能;一带一路;光伏建筑一体化;绿色电力;融资融券;数字经济;光伏概念;沪股通,13.0,17,601886,601886.SH
云计算;福建自贸区;HJT电池;海峡两岸;TOPCON电池;储能;光伏概念;钙钛矿电池,8.0,33,300051,300051.SZ
机器人概念;人形机器人;华为概念;职业教育;鸿蒙概念;在线教育;阿里巴巴概念;ChatGPT概念;智谱AI;短剧游戏;摘帽,11.0,33,003032,003032.SZ
算力租赁;数字水印;Web3.0;云计算;ChatGPT概念;虚拟数字人;AIGC概念;数据要素;元宇宙;区块链;东数西算(算力);数字经济;DeepSeek概念;人工智能;数据中心(AIDC);体育产业;海峡两岸;福建自贸区;融资融券;深股通,20.0,33,002229,002229.SZ
AI视频;手机游戏;ChatGPT概念;空间计算;虚拟数字人;AIGC概念;NFT概念;数字孪生;文化传媒概念;数据要素;IP经济(谷子经济);百度概念;元宇宙;数字经济;抖音概念(字节概念);DeepSeek概念;旅游概念;网红经济;人形机器人;乡村振兴;机器人概念;虚拟现实;华为概念;MR(混合现实);商业航天;2026中报预增;融资融券;沪股通,28.0,17,603466,603466.SH
共封装光学(CPO);光纤概念;芯片概念;5G;3D打印;量子科技;数据中心(AIDC);商业航天;2026一季报预增;卫星导航;无人驾驶;海工装备;横琴新区;粤港澳大湾区;一带一路;国企改革;2026中报预增;股权转让(并购重组);深股通;融资融券,20.0,33,300620,300620.SZ
新能源汽车;ST板块;动力电池回收,3.0,22,603922,603922.SH
芯片概念;共封装光学(CPO);消费电子概念;汽车电子;光伏概念;POE胶膜;华为概念;比亚迪概念;专精特新;股权转让(并购重组);融资融券,11.0,17,603330,603330.SH
预制菜;农业种植;IP经济(谷子经济);人造肉;网红经济;生态农业;啤酒概念;参股银行;旅游概念;乡村振兴;跨境电商;职业教育;高股息精选;新疆振兴;特色小镇;创投;智能物流;海峡两岸;深股通,19.0,33,002582,002582.SZ
医药电商;仿制药一致性评价;流感;阿尔茨海默概念;毛发医疗;创新药;维生素;幽门螺杆菌概念;高股息精选;眼科医疗;工业大麻;智能医疗;国企改革;AI应用;专精特新;沪股通;融资融券,17.0,17,600572,600572.SH
证金持股;租售同权;冰雪产业;物业管理;养老概念;体育产业;融资融券;京津冀一体化;国企改革;雄安新区;新型城镇化;沪股通,12.0,17,600376,600376.SH
在线教育;数据确权;文化传媒概念;智慧政务;数据要素;国资云;元宇宙;云计算;智慧城市;短剧游戏;数字乡村;AI智能体;人工智能;腾讯概念;算力租赁;物业管理;虚拟现实;华为概念;数据中心(AIDC);5G;深股通;融资融券,22.0,33,000665,000665.SZ
乳业;绿色电力;生态农业;乡村振兴;跨境电商;三胎概念;西部大开发;文化传媒概念;数字经济;智慧城市;一带一路;冷链物流;光伏概念;融资融券,14.0,33,002329,002329.SZ
污水处理;一带一路;固废处理;人民币贬值受益;国企改革;航运概念;高端装备;海工装备;风电;天然气;深股通;融资融券,12.0,33,002483,002483.SZ
IP经济(谷子经济);乡村振兴,2.0,33,000715,000715.SZ
智慧政务;鸿蒙概念;AI智能体;数据要素;AI应用;智慧城市;安防;物联网;家庭医生;DeepSeek概念;人工智能;华为概念;智能医疗;数据中心(AIDC);养老概念;碳中和;医疗器械概念,17.0,33,002178,002178.SZ
减速器;工业母机;人形机器人;机器视觉;机器人概念;高端装备;智能物流;航空发动机;人民币贬值受益;冷链物流;深股通;融资融券,12.0,33,002031,002031.SZ
租售同权;ST板块;固废处理;西部大开发;污水处理;股权转让(并购重组),6.0,33,000838,000838.SZ
职业教育;工业互联网;工业母机;新型工业化;高端装备;国企改革;央企国企改革;商业航天;股权转让(并购重组);融资融券;深股通,11.0,33,000410,000410.SZ
创投;国企改革;参股银行;参股券商;深股通;融资融券,6.0,33,000936,000936.SZ
数字孪生;华为鲲鹏;人脸识别;信创;云计算;鸿蒙概念;抖音概念(字节概念);物联网;AI智能体;小米概念;机器人概念;AI应用;工业互联网;智慧城市;华为概念;腾讯概念;液冷服务器;东数西算(算力);数字经济;人工智能;数据中心(AIDC);DeepSeek概念;建筑节能;粤港澳大湾区;宁德时代概念;雄安新区;碳中和;智能医疗;PPP概念;养老概念;深股通;比亚迪概念;融资融券,33.0,33,002421,002421.SZ
医药电商;创新药;冷链物流;农业种植;统一大市场;养老概念;医疗器械概念;智能医疗;牙科医疗;区块链;人工智能;AI应用;华为概念;深股通;融资融券,15.0,33,002589,002589.SZ
风电;充电桩,2.0,33,000692,000692.SZ
ST板块;天然气,2.0,33,000669,000669.SZ
光伏概念;专精特新;深股通;融资融券,4.0,33,301373,301373.SZ
第三代半导体;汽车芯片;芯片概念;专精特新;无人机;新能源汽车;充电桩;智能电网;融资融券,9.0,17,688693,688693.SH
PPP概念;装配式建筑;房屋检测;光伏建筑一体化;新型城镇化;ST板块;水利;长三角一体化,8.0,22,600491,600491.SH
PET铜箔;芯片概念;MiniLED;MicroLED概念;HJT电池;钙钛矿电池;光伏概念;专精特新;小金属概念;可控核聚变;融资融券,11.0,17,688530,688530.SH
动物疫苗;禽流感;合成生物;宠物经济;消毒剂;天津自贸区;京津冀一体化;绿色电力;AI应用;深股通,10.0,33,300119,300119.SZ
算力租赁;染料;东数西算(算力);英伟达概念;C2M概念;AI视频;多模态AI;百度概念;区块链;独角兽概念;AIGC概念;海工装备;长三角一体化;DeepSeek概念;AI应用;污水处理;人工智能;IP经济(谷子经济);柔性屏(折叠屏);PPP概念;芯片概念;军工;宠物经济;数据中心(AIDC);深股通;融资融券,26.0,33,300067,300067.SZ
人形机器人;新能源汽车;专精特新;宁德时代概念;储能;机器人概念;C2M概念;工业互联网;锂电池概念;减速器;绿色电力;融资融券;深股通,13.0,33,300382,300382.SZ
露营经济;宠物经济;三胎概念;医疗器械概念;跨境电商;家用电器;西部大开发;智能家居;消毒剂,9.0,33,003023,003023.SZ
科创次新股;共封装光学(CPO);存储芯片;芯片概念;注册制次新股;专精特新;高端装备;2026一季报预增;新股与次新股;融资融券,10.0,17,688808,688808.SH
新能源汽车;西部大开发;融资融券;专精特新;两轮车,5.0,151,920833,920833.BJ
快手概念;小红书概念;AI视频;AIGC概念;抖音概念(字节概念);文化传媒概念;百度概念;AI应用;腾讯概念;阿里巴巴概念;独角兽概念;职业教育;人工智能;网红经济;华为概念;长安汽车概念;丙烯酸;光刻胶;深股通,19.0,33,300063,300063.SZ
存储芯片;汽车芯片;共封装光学(CPO);中芯国际概念;芯片概念;AI眼镜;消费电子概念;智能穿戴;汽车电子;数据中心(AIDC);无线耳机;智能座舱;小米概念;华为概念;专精特新;新型烟草(电子烟);比亚迪概念;特斯拉概念;人民币贬值受益;2026中报预增;沪股通;融资融券,22.0,17,688123,688123.SH
共封装光学(CPO);光纤概念;F5G概念;芯片概念;5G;数据中心(AIDC);东数西算(算力);专精特新;2026中报预增;沪股通;融资融券,11.0,17,688205,688205.SH
金属锌;小金属概念;金属回收;无人机;物联网;黑龙江自贸区;固废处理;一带一路;ST板块;水利;污水处理;土壤修复;雄安新区;乡村振兴;PPP概念,15.0,33,000711,000711.SZ
露营经济;三胎概念;足球概念;跨境电商;冰雪产业;体育产业;MicroLED概念;柔性屏(折叠屏);AI眼镜;MiniLED;OLED;机器人概念;消费电子概念;智能穿戴;芯片概念;京津冀一体化;商业航天;汽车芯片;MCU芯片;融资融券;先进封装;2026中报预增;深股通,23.0,33,300005,300005.SZ
西部大开发;融资融券;垃圾分类;物业管理;乡村振兴;DeepSeek概念;新型城镇化,7.0,151,920370,920370.BJ
卫星导航;航空发动机;商业航天;大飞机;军工;无人机;低空经济;专精特新;飞行汽车(eVTOL);PEEK材料;小米概念;机器人概念;汽车热管理;比亚迪概念;特斯拉概念;换电概念;新能源汽车;人形机器人;小米汽车;家用电器;华为汽车;创投;智能物流;氢能源;深股通;融资融券,26.0,33,301005,301005.SZ
中芯国际概念;第三代半导体;芯片概念;专精特新;创投;2026中报预增;深股通;融资融券,8.0,33,301369,301369.SZ
第三代半导体;芯片概念;AI眼镜;专精特新;智能电网;华为概念;新能源汽车;沪股通;融资融券,9.0,17,688234,688234.SH
东数西算(算力);云办公;云计算;云游戏;数据安全;5G;华为鲲鹏;智慧政务;腾讯概念;抖音概念(字节概念);华为概念;阿里巴巴概念;物联网;鸿蒙概念;AI智能体;AIGC概念;智慧城市;数据要素;元宇宙;华为手机;AI应用;人工智能;粤港澳大湾区;DeepSeek概念;数字经济;智能家居;蚂蚁集团概念;互联网金融;芯片概念;深股通;融资融券,31.0,33,301382,301382.SZ
PCB概念;光纤概念;OLED;芯片概念;5G;光伏概念;同花顺新质50;融资融券;深股通,9.0,33,300395,300395.SZ
职业教育;人工智能;在线教育;AI视频;东数西算(算力);ChatGPT概念;AI应用;DeepSeek概念;芯片概念;股权转让(并购重组);深股通,11.0,33,300192,300192.SZ
算力租赁;东数西算(算力);AI智能体;DeepSeek概念;智能医疗;土壤修复;粮食概念;超级品牌;融资融券;沪股通,10.0,17,600186,600186.SH
共封装光学(CPO);光纤概念;先进封装;英伟达概念;5G;数据中心(AIDC);无人驾驶;同花顺新质50;专精特新;华为概念;人民币贬值受益;深股通;融资融券,13.0,33,300394,300394.SZ
第三代半导体;存储芯片;共封装光学(CPO);汽车芯片;OLED;芯片概念;AI眼镜;汽车电子;传感器;小米概念;数据中心(AIDC);新能源汽车;智能座舱;无人驾驶;智能家居;物联网;机器人概念;粤港澳大湾区;ERP概念;长安汽车概念;车联网(车路协同);阿里巴巴概念;腾讯概念;智慧城市;深股通;融资融券,26.0,33,300131,300131.SZ
