code,market_code,所属概念,股票代码,所属概念数量
601608,17,大飞机;海工装备;国产航母;高端装备;核电;军工;商业航天;一带一路;一体化压铸;减速器;机器人概念;工业互联网;新型工业化;国企改革;风电;人形机器人;人工智能;华为概念;光伏概念;F5G概念;同花顺中特估100;融资融券;沪股通;中字头股票,601608.SH,24
000409,33,AI应用;鸿蒙概念;ChatGPT概念;数据要素;AI智能体;华为盘古;数字经济;多模态AI;云计算;国产操作系统;DeepSeek概念;网络安全;ERP概念;腾讯概念;人工智能;时空大数据;华为昇腾;数字孪生;空间计算;物联网;工业互联网;华为概念;新型工业化;机器人概念;东数西算(算力);数据中心;国企改革;卫星导航;军民融合;智能电网;智能穿戴;5G;光伏概念;煤化工概念;深股通,000409.SZ,35
002693,33,CRO概念;辅助生殖;仿制药一致性评价;阿尔茨海默概念;肝炎概念;海南自贸区;摘帽,002693.SZ,7
002051,33,水利;冰雪产业;新型城镇化;一带一路;固废处理;污水处理;人民币贬值受益;同花顺中特估100;雄安新区;央企国企改革;乡村振兴;新疆振兴;华为概念;国企改革;东数西算(算力);深股通;融资融券;中字头股票,002051.SZ,18
600186,17,算力租赁;东数西算(算力);AI智能体;DeepSeek概念;智能医疗;土壤修复;回购增持再贷款概念;粮食概念;超级品牌;融资融券;沪股通,600186.SH,11
600851,17,细胞免疫治疗;生物疫苗;仿制药一致性评价;创新药;维生素;互联网金融;物业管理;参股券商;证金持股;融资融券;沪股通,600851.SH,11
600539,17,小红书概念;股权转让(并购重组);锂电池概念;机器视觉;AI应用;海峡两岸;净水概念;污水处理;跨境电商;光伏概念;宠物经济,600539.SH,11
002526,33,网络游戏;智能物流;手机游戏;减速器;人工智能;高端装备;可降解塑料;新型工业化;机器人概念;低空经济;无人机;煤炭概念;深股通;融资融券,002526.SZ,14
600396,17,超超临界发电;绿色电力;碳交易;风电;碳中和;氢能源;国企改革;央企国企改革;海工装备,600396.SH,9
603919,17,白酒概念;啤酒概念;西部大开发;回购增持再贷款概念;沪股通;融资融券,603919.SH,6
688249,17,汽车芯片;MCU芯片;OLED;芯片概念;MicroLED概念;MiniLED;消费电子概念;量子科技;国企改革;沪股通;融资融券,688249.SH,11
002585,33,PET铜箔;柔性屏(折叠屏);OLED;消费电子概念;锂电池概念;光伏概念;小米概念;华为概念;新能源汽车;建筑节能;区块链;可降解塑料;绿色电力;参股银行;融资融券;深股通,002585.SZ,16
600863,17,超超临界发电;高股息精选;绿色电力;煤炭概念;央企国企改革;风电;国企改革;西部大开发;沪股通;融资融券,600863.SH,10
002927,33,智能电网;商业航天;腾讯概念;数据中心;核电;高压快充;工业互联网;虚拟电厂;军工;充电桩;5G;数字经济;专精特新;储能;高铁;比亚迪概念;光伏概念;PCB概念;西部大开发,002927.SZ,19
603303,17,智慧灯杆;汽车电子;智慧城市;人民币贬值受益;新能源汽车;股权转让(并购重组);沪股通,603303.SH,7
600726,17,超超临界发电;绿色电力;煤炭概念;风电;黑龙江自贸区;国企改革;央企国企改革;沪股通,600726.SH,8
002741,33,PCB概念;PET铜箔;先进封装;固态电池;富士康概念;宁德时代概念;锂电池概念;芯片概念;钠离子电池;共封装光学(CPO);氟化工概念;5G;动力电池回收;比亚迪概念;消毒剂;融资融券;深股通,002741.SZ,17
002056,33,BC电池;稀土永磁;小金属概念;TOPCON电池;锂电池概念;钙钛矿电池;华为数字能源;储能;光伏概念;光伏建筑一体化;无线充电;氢能源;特斯拉概念;比亚迪概念;新能源汽车;5G;工业互联网;东数西算(算力);机器人概念;华为概念;深股通;融资融券;军工;低空经济;数字经济,002056.SZ,25
002645,33,稀土永磁;金属钴;消费电子概念;金属回收;金属铜;汽车拆解概念;新能源汽车;高端装备;机器人概念;固废处理;垃圾分类;深股通;融资融券,002645.SZ,13
603990,17,三胎概念;民营医院;养老概念;辅助生殖;人形机器人;智能医疗;DRG/DIP;国企改革;机器人概念;AI应用;人工智能;物联网;DeepSeek概念;华为鲲鹏;低空经济;华为概念;无人机;WiFi 6;股权转让(并购重组);融资融券,603990.SH,20
002957,33,共封装光学(CPO);苹果概念;液冷服务器;新型烟草(电子烟);消费电子概念;芯片概念;无线耳机;AI眼镜;智能穿戴;机器视觉;比亚迪概念;虚拟现实;固态电池;宁德时代概念;新型工业化;2025年报预增;华为概念;粤港澳大湾区;锂电池概念;无人机;物联网;低空经济;机器人概念;工业互联网;人形机器人;智能物流;融资融券;深股通,002957.SZ,28
603001,17,C2M概念;体育产业;跨境电商,603001.SH,3
