code,所属概念,所属概念数量,股票代码,market_code
603667,减速器;人形机器人;汽车热管理;特斯拉概念;机器人概念;新能源汽车;无人机;商业航天;大飞机;高端装备;军工;风电;特钢概念;沪股通;融资融券,15,603667.SH,17
002317,减肥药;创新药;仿制药一致性评价;猴痘概念;流感;肝炎概念;幽门螺杆菌概念;眼科医疗;辅助生殖;医药电商;禽流感;维生素;智能医疗;医疗器械概念;养老概念;NMN概念;数字经济;粤港澳大湾区;深股通;融资融券,20,002317.SZ,33
002902,F5G概念;共封装光学(CPO);铜缆高速连接;华为海思概念股;5G;消费电子概念;数据中心;第三代半导体;汽车电子;智能穿戴;芯片概念;粤港澳大湾区;华为概念;充电桩;光伏概念;储能;露营经济;新能源汽车;工业互联网;商业航天;车联网(车路协同);海工装备;数字经济;一带一路;体育产业;跨境电商;深股通;融资融券,28,002902.SZ,33
603459,注册制次新股;华为手机;MiniLED;存储芯片;东数西算(算力);PCB概念;共封装光学(CPO);智能座舱;智能穿戴;汽车电子;锂电池概念;比亚迪概念;消费电子概念;芯片概念;小米概念;华为概念;无人驾驶;虚拟现实;富士康概念;卫星导航;机器人概念;商业航天;一带一路;新股与次新股;融资融券,25,603459.SH,17
603045,汽车电子;5G;比亚迪概念;数据中心;BC电池;智能电网;新能源汽车;HJT电池;充电桩;TOPCON电池;工业互联网;智能家居;2025年报预增;储能;高铁;金属回收;黄金概念;股权转让(并购重组);融资融券,19,603045.SH,17
002281,F5G概念;共封装光学(CPO);光纤概念;6G概念;液冷服务器;5G;芯片概念;数据中心;东数西算(算力);量子科技;华为概念;抖音概念(字节概念);阿里巴巴概念;腾讯概念;百度概念;央企国企改革;国企改革;深股通;融资融券;股权转让(并购重组),20,002281.SZ,33
002536,液冷服务器;数据中心;芯片概念;汽车电子;汽车热管理;无人机;充电桩;小米汽车;新能源汽车;特斯拉概念;华为概念;储能;燃料电池;低空经济;机器人概念;长安汽车概念;海峡两岸;人民币贬值受益;一带一路;深股通;融资融券,21,002536.SZ,33
002256,光伏建筑一体化;盐湖提锂;绿色电力;AI手机;储能;锂电池概念;碳中和;深股通;化肥;染料;融资融券,11,002256.SZ,33
000659,啤酒概念;横琴新区;粤港澳大湾区,3,000659.SZ,33
603311,PM2.5;家用电器;专精特新;新能源汽车;人民币贬值受益;大飞机;回购增持再贷款概念,7,603311.SH,17
600536,国产操作系统;智慧政务;华为欧拉;华为鲲鹏;信创;电子身份证;财税数字化;数据安全;云计算;网络安全;阿里巴巴概念;DeepSeek概念;数字经济;人工智能;智慧城市;低空经济;华为概念;中国AI 50;机器人概念;商业航天;京津冀一体化;数据中心;AI PC;水利;乡村振兴;国企改革;央企国企改革;中字头股票;沪股通;融资融券,30,600536.SH,17
605055,共同富裕示范区;长三角一体化;减速器;机器人概念,4,605055.SH,17
603636,电子身份证;智慧政务;Web3.0;数据要素;鸿蒙概念;信创;AI应用;区块链;华为鲲鹏;虚拟数字人;数据安全;数字经济;网络安全;数据确权;数字乡村;人脸识别;AI智能体;蚂蚁集团概念;百度概念;智慧城市;华为盘古;云计算;人工智能;阿里巴巴概念;DeepSeek概念;车联网(车路协同);数字水印;智谱AI;华为昇腾;物联网;智能医疗;华为概念;房屋检测;东数西算(算力);算力租赁;智慧灯杆;无人驾驶;水利;海峡两岸;军工;乡村振兴;PPP概念;沪股通;融资融券,44,603636.SH,17
605289,智慧灯杆;液冷服务器;数据中心;空间计算;风电;东数西算(算力);换电概念;光伏概念;新能源汽车;储能;虚拟现实;智慧城市;DeepSeek概念;人工智能;元宇宙;IP经济(谷子经济);沪股通;股权转让(并购重组),18,605289.SH,17
600936,文化传媒概念;AI应用;鸿蒙概念;智慧政务;AI智能体;DeepSeek概念;数字乡村;机器人概念;乡村振兴;无人机;5G;西部大开发;国企改革;股权转让(并购重组);沪股通;融资融券,16,600936.SH,17
600391,国产航母;航空发动机;大飞机;军工;高端装备;央企国企改革;西部大开发;国企改革;沪股通;融资融券,10,600391.SH,17
002132,有机硅概念;硅能源;黄金概念;2026一季报预增;光伏概念;特高压;深股通;融资融券,8,002132.SZ,33
605189,染料;PEEK材料;2026一季报预增;机器人概念;储能;人形机器人,6,605189.SH,17
002222,光纤概念;无人驾驶;海峡两岸;华为概念;虚拟现实;福建自贸区;国企改革;深股通;融资融券,9,002222.SZ,33
003036,固态电池;新型工业化;共同富裕示范区;锂电池概念;机器人概念;高端装备;参股银行,7,003036.SZ,33
002091,固态电池;有机硅概念;锂电池概念;宁德时代概念;超级电容;回购增持再贷款概念;参股保险;国企改革;一带一路;新能源汽车;人民币贬值受益;高股息精选;跨境电商;深股通;融资融券,15,002091.SZ,33
603618,光纤概念;特高压;抽水蓄能;智能电网;风电;光伏概念;5G;储能;石墨烯;PET铜箔;新能源汽车;锂电池概念;共同富裕示范区;沪股通;融资融券,15,603618.SH,17
001267,共封装光学(CPO);铜缆高速连接;土壤修复;污水处理;新型城镇化;乡村振兴;深股通;股权转让(并购重组),8,001267.SZ,33
002979,新型工业化;人形机器人;富士康概念;小米概念;比亚迪概念;机器人概念;芯片概念;华为概念;专精特新;高端装备;宁德时代概念;低空经济;光伏概念;深股通,14,002979.SZ,33
002655,智能音箱;苹果概念;消费电子概念;芯片概念;新型烟草(电子烟);智能穿戴;无线耳机;华为概念;汽车电子;小米概念;传感器;元宇宙;无人机;无线充电;新能源汽车;毫米波雷达;智能家居;一带一路,18,002655.SZ,33
002929,算力租赁;华为昇腾;云办公;东数西算(算力);数据安全;信创;多模态AI;数据中心;阿里巴巴概念;百度概念;空间计算;虚拟数字人;AI智能体;数据要素;电力物联网;数字乡村;5G;元宇宙;AI应用;智慧灯杆;华为数字能源;数字孪生;智慧城市;华为概念;MR(混合现实);DeepSeek概念;虚拟现实;人工智能;智能电网;虚拟电厂;工业互联网;无人机;充电桩;低空经济;军工;机器人概念;储能;光伏概念;雄安新区;乡村振兴;一带一路;跨境电商;西部大开发;融资融券;深股通,45,002929.SZ,33
002580,动力电池回收;液冷服务器;钠离子电池;固态电池;高铁;储能;锂电池概念;东数西算(算力);数据中心;军工;5G;新疆振兴;快手概念;华为概念;抖音概念(字节概念);雄安新区;阿里巴巴概念;创投;一带一路;国企改革;鸿蒙概念;深股通;融资融券,23,002580.SZ,33
600234,抖音概念(字节概念);物业管理;文化传媒概念;摘帽,4,600234.SH,17
600498,光纤概念;F5G概念;共封装光学(CPO);6G概念;液冷服务器;特高压;WiFi 6;5G;海工装备;数据中心;商业航天;卫星导航;东数西算(算力);芯片概念;国资云;央企国企改革;华为昇腾;网络安全;云计算;一带一路;智慧城市;数据安全;汽车芯片;AI智能体;数字乡村;MCU芯片;华为鲲鹏;DeepSeek概念;人工智能;数据要素;智慧政务;创投;智能医疗;国企改革;沪股通;融资融券,36,600498.SH,17
002009,人形机器人;长安汽车概念;无人零售;新型工业化;华为汽车;比亚迪概念;富士康概念;车联网(车路协同);机器人概念;无人驾驶;脑机接口;特斯拉概念;新能源汽车;腾讯概念;工业互联网;光伏概念;智能物流;储能;垃圾分类;风电;锂电池概念;汽车拆解概念;动力电池回收;固废处理;金属回收;金属镍;金属钴;小金属概念;深股通;融资融券,30,002009.SZ,33
600345,光纤概念;商业航天;卫星导航;华为概念;安防;车联网(车路协同);智慧城市;央企国企改革;人工智能;国企改革;信创;DeepSeek概念;数据要素;股权转让(并购重组);沪股通;融资融券,16,600345.SH,17
600078,磷化工;绿色电力,2,600078.SH,17
605358,存储芯片;中芯国际概念;汽车芯片;第三代半导体;芯片概念;卫星导航;汽车电子;5G;商业航天;共封装光学(CPO);人形机器人;专精特新;比亚迪概念;无人驾驶;机器人概念;光伏概念;充电桩;硅能源;融资融券;沪股通,20,605358.SH,17
603738,光刻机;共封装光学(CPO);6G概念;华为海思概念股;WiFi 6;宁德时代概念;芯片概念;5G;卫星导航;汽车芯片;军工;消费电子概念;AI眼镜;智能穿戴;汽车电子;数据中心;无人机;MCU芯片;比亚迪概念;华为概念;专精特新;人形机器人;智能座舱;无人驾驶;机器人概念;创投;融资融券;沪股通,28,603738.SH,17
605086,海峡两岸;创投;国企改革;锂电池概念;沪股通;股权转让(并购重组),6,605086.SH,17
001333,共同富裕示范区;长三角一体化,2,001333.SZ,33
002997,一体化压铸;华为汽车;小米汽车;新型工业化;机器人概念;比亚迪概念;新能源汽车;专精特新;人工智能;深股通;融资融券,11,002997.SZ,33
605006,PCB概念;风电;国企改革,3,605006.SH,17
002552,黄金概念;2026一季报预增;PCB概念;股权转让(并购重组);5G;汽车电子;国企改革;互联网金融;深股通,9,002552.SZ,33
603758,长安汽车概念;人形机器人;新能源汽车;传感器;消费电子概念;西部大开发;沪股通;融资融券,8,603758.SH,17
600530,养老概念;幽门螺杆菌概念;宠物经济;沪股通,4,600530.SH,17
002259,天然气;西部大开发;2025年报预增;摘帽,4,002259.SZ,33
002918,创投;智能家居;数据中心;深股通,4,002918.SZ,33
600545,华为概念;新型工业化;AI智能体;机器人概念;人民币贬值受益;DeepSeek概念;一带一路;西部大开发;新疆振兴;融资融券,10,600545.SH,17
000582,一带一路;回购增持再贷款概念;华为概念;国企改革;DeepSeek概念;西部大开发;区块链;机器人概念;人工智能;乡村振兴;安防;星闪概念;统一大市场;冷链物流;航运概念;自由贸易港;深股通;融资融券,18,000582.SZ,33
002031,减速器;智能物流;机器人概念;人形机器人;机器视觉;高端装备;人民币贬值受益;工业母机;航空发动机;冷链物流;深股通;融资融券,12,002031.SZ,33
000036,盐湖提锂;锂电池概念;物业管理;碳中和;深股通;融资融券,6,000036.SZ,33
000863,租售同权;Web3.0;文化传媒概念;人工智能;数字经济;元宇宙;物业管理;虚拟现实;智能家居;IP经济(谷子经济);创投;旅游概念;一带一路;长三角一体化;光伏建筑一体化;深股通;融资融券,17,000863.SZ,33
002397,C2M概念;智能家居;三胎概念;网红经济;IP经济(谷子经济),5,002397.SZ,33
002520,工业母机;新型工业化;人形机器人;减速器;航空发动机;成飞概念;高端装备;大飞机;机器人概念;新能源汽车;数字经济;军民融合;人民币贬值受益;风电;共同富裕示范区;一带一路;深股通;融资融券,18,002520.SZ,33
002030,猴痘概念;幽门螺杆菌概念;肝炎概念;基因测序;辅助生殖;流感;医疗器械概念;禽流感;智能医疗;食品安全;创投;人工智能;互联网金融;国企改革;证金持股;融资融券;深股通,17,002030.SZ,33
601991,绿色电力;风电;储能;雅下水电概念;核电;央企国企改革;国企改革;2025年报预增;沪股通;融资融券,10,601991.SH,17
300755,跨境电商;西部大开发;融资融券;深股通,4,300755.SZ,33
300129,商业航天;专精特新;高端装备;光伏概念;海工装备;风电;国企改革;绿色电力;新疆振兴;深股通;融资融券,11,300129.SZ,33
300864,土壤修复;水利;污水处理;净水概念;碳中和;人工智能;高股息精选;融资融券,8,300864.SZ,33
920510,芯片概念;融资融券;机器人概念;新能源汽车;减速器;人形机器人;专精特新,7,920510.BJ,151
688282,卫星导航;商业航天;军民融合;无人机;军工;专精特新;无人驾驶;融资融券,8,688282.SH,17
688182,WiFi 6;6G概念;5G;芯片概念;商业航天;卫星导航;华为概念;2025年报预增;专精特新;国家大基金持股;新能源汽车;智能电网;沪股通;融资融券,14,688182.SH,17
300599,粤港澳大湾区;石墨烯;地下管网;水利,4,300599.SZ,33
300905,染料;光刻胶;专精特新;3D打印;足球概念;深股通;融资融券,7,300905.SZ,33
920156,机器人概念;储能;2026一季报预增;专精特新;新股与次新股;融资融券,6,920156.BJ,151
920533,储能;专精特新;融资融券;特斯拉概念;机器人概念;无人驾驶;宁德时代概念;新能源汽车;人民币贬值受益;人形机器人,10,920533.BJ,151
300321,国企改革;证金持股,2,300321.SZ,33
300049,智能医疗;家庭医生;AI应用;三胎概念;医疗器械概念;肝炎概念;医药电商;人民币贬值受益;参股保险;西部大开发;深股通;融资融券,12,300049.SZ,33
301000,人形机器人;汽车热管理;机器人概念;新能源汽车;家用电器;储能;燃料电池;深股通;融资融券,9,301000.SZ,33
920100,安防;智能物流;汽车热管理;3D打印;减速器;新股与次新股;融资融券;机器人概念;光伏概念;人形机器人;新型工业化,11,920100.BJ,151
688307,光刻机;智能穿戴;机器视觉;无人驾驶;专精特新;海峡两岸;虚拟现实;智能座舱;无人机;华为概念;安防;机器人概念;人工智能;融资融券,14,688307.SH,17
