market_code,股票代码,所属概念,code,所属概念数量
17,603103.SH,短剧游戏;文化传媒概念;IP经济(谷子经济);虚拟现实;共同富裕示范区;AI应用;沪股通;融资融券,603103,8
33,300424.SZ,成飞概念;航空发动机;大飞机;军民融合;军工;无人机;低空经济;传感器;虚拟现实;人民币贬值受益;股权转让(并购重组),300424,11
33,301363.SZ,脑机接口;传感器;消费电子概念;PEEK材料;CRO概念;医疗器械概念;机器人概念;减肥药;人民币贬值受益;深股通;融资融券,301363,11
17,688579.SH,数据确权;数据要素;智慧政务;信创;区块链;AI智能体;DRG/DIP;虚拟数字人;人工智能;DeepSeek概念;虚拟现实;华为概念;智能医疗;量子科技;国企改革;智能电网;虚拟电厂;AI应用;融资融券,688579,19
33,300567.SZ,国家大基金持股;中芯国际概念;存储芯片;先进封装;OLED;富士康概念;芯片概念;MiniLED;柔性屏(折叠屏);苹果概念;AI眼镜;小米概念;比亚迪概念;MR(混合现实);机器视觉;宁德时代概念;锂电池概念;华为概念;虚拟现实;深股通;融资融券,300567,21
17,603297.SH,光刻机;无人驾驶;芯片概念;机器视觉;AI眼镜;虚拟现实;商业航天;共同富裕示范区;智能医疗;沪股通;融资融券,603297,11
33,301285.SZ,新能源汽车;芯片概念;光伏概念;3D打印;消费电子概念;小米概念;智能穿戴;华为概念;深股通;融资融券,301285,10
33,301217.SZ,PET铜箔;PCB概念;5G;宁德时代概念;固态电池;比亚迪概念;锂电池概念;储能;国企改革;深股通;融资融券,301217,11
33,002655.SZ,智能音箱;无线耳机;汽车电子;智能穿戴;新型烟草(电子烟);小米概念;毫米波雷达;消费电子概念;苹果概念;传感器;智能家居;无人机;新能源汽车;芯片概念;华为概念;无线充电;元宇宙;一带一路,002655,18
33,301469.SZ,烟草;医疗器械概念;食品安全;回购增持再贷款概念;参股银行;融资融券,301469,6
17,688292.SH,华为昇腾;华为欧拉;华为鲲鹏;网络安全;数据安全;多模态AI;AI智能体;数据要素;AIGC概念;同花顺新质50;车联网(车路协同);商业航天;DeepSeek概念;AI应用;人工智能;5G;低空经济;无人驾驶;融资融券,688292,19
