market_code,股票代码,所属概念数量,code,所属概念
33,300283.SZ,15,300283,工业母机;PCB概念;消费电子概念;比亚迪概念;第三代半导体;专精特新;新能源汽车;芯片概念;锂电池概念;数据中心;固态电池;储能;智能电网;医疗器械概念;光伏建筑一体化
17,688150.SH,8,688150,PCB概念;OLED;柔性屏(折叠屏);专精特新;钙钛矿电池;西部大开发;沪股通;融资融券
33,301059.SZ,3,301059,专精特新;有机硅概念;融资融券
33,300260.SZ,10,300260,中芯国际概念;光刻机;芯片概念;OLED;液冷服务器;数据中心;海峡两岸;食品安全;融资融券;深股通
33,300983.SZ,2,300983,新型城镇化;融资融券
17,688478.SH,10,688478,存储芯片;华为海思概念股;第三代半导体;芯片概念;比亚迪概念;专精特新;光伏概念;海峡两岸;股权转让(并购重组);融资融券
17,688611.SH,16,688611,电力物联网;传感器;物联网;芯片概念;人形机器人;机器人概念;存储芯片;智能电网;区块链;特高压;光伏概念;储能;虚拟电厂;钙钛矿电池;沪股通;融资融券
33,301361.SZ,9,301361,智能电网;虚拟电厂;数据中心;储能;传感器;专精特新;锂电池概念;海工装备;融资融券
17,688205.SH,10,688205,共封装光学(CPO);F5G概念;光纤概念;5G;芯片概念;数据中心;专精特新;东数西算(算力);沪股通;融资融券
17,688813.SH,15,688813,PET铜箔;科创次新股;PCB概念;共封装光学(CPO);军工;锂电池概念;注册制次新股;比亚迪概念;华为概念;核电;氢能源;西部大开发;国企改革;新股与次新股;融资融券
17,688603.SH,5,688603,先进封装;PCB概念;芯片概念;沪股通;融资融券
33,300444.SZ,36,300444,柔性直流输电;智能电网;电力物联网;虚拟电厂;风电;华为数字能源;高压快充;充电桩;换电概念;数据中心;海工装备;光伏概念;储能;东数西算(算力);绿色电力;光伏建筑一体化;工业互联网;高端装备;碳中和;华为概念;数字孪生;人工智能;长安汽车概念;新能源汽车;数字经济;机器人概念;比亚迪概念;2025年报预增;京津冀一体化;钒电池;一带一路;锂电池概念;新疆振兴;固态电池;股权转让(并购重组);深股通
33,301172.SZ,36,301172,共封装光学(CPO);光纤概念;数据中心;华为昇腾;华为概念;空间计算;网络安全;物联网;腾讯概念;信创;安防;AIGC概念;海峡两岸;华为鲲鹏;智慧政务;时空大数据;鸿蒙概念;AI智能体;AI应用;智慧城市;机器人概念;数据要素;区块链;人工智能;低空经济;军工;数字乡村;DeepSeek概念;数字经济;智能医疗;水利;新型城镇化;乡村振兴;地下管网;西部大开发;融资融券
33,000981.SZ,16,000981,减速器;华为汽车;智能物流;高端装备;汽车拆解概念;新能源汽车;比亚迪概念;无人驾驶;西部大开发;物联网;汽车电子;阿里巴巴概念;芯片概念;先进封装;深股通;融资融券
17,688601.SH,13,688601,AI手机;汽车芯片;AI眼镜;创投;芯片概念;小米概念;消费电子概念;汽车电子;机器人概念;比亚迪概念;民爆概念;融资融券;沪股通
33,300001.SZ,31,300001,虚拟电厂;智能电网;高压快充;风电;核电;充电桩;储能;绿色电力;数据中心;光伏建筑一体化;工业互联网;高铁;动力电池回收;华为概念;新能源汽车;百度概念;小米概念;阿里巴巴概念;比亚迪概念;长安汽车概念;雄安新区;PPP概念;小米汽车;腾讯概念;机器人概念;抖音概念(字节概念);中俄贸易概念;人工智能;MCU芯片;深股通;融资融券
33,301217.SZ,11,301217,PET铜箔;PCB概念;固态电池;宁德时代概念;锂电池概念;5G;比亚迪概念;储能;国企改革;深股通;融资融券
