股票代码,market_code,code,所属概念,所属概念数量
601133.SH,17,601133,中芯国际概念;存储芯片;OLED;芯片概念;柔性屏(折叠屏);装配式建筑;沪股通;融资融券,8
300205.SZ,33,300205,ST板块;数字货币;跨境支付(CIPS);移动支付;ETC;量子科技;5G;数据安全;财税数字化;网络安全;区块链;华为概念;华为鲲鹏;物联网;互联网金融;人工智能;专精特新,17
002756.SZ,33,002756,锂电池概念;特钢概念;核电;军工;互联网金融;融资融券;深股通,7
300568.SZ,33,300568,钠离子电池;固态电池;宁德时代概念;锂电池概念;比亚迪概念;储能;新能源汽车;氢能源;回购增持再贷款概念;机器人概念;芯片概念;DeepSeek概念;融资融券;深股通,14
003031.SZ,33,003031,共封装光学(CPO);光刻机;第三代半导体;华为海思概念股;芯片概念;6G概念;5G;消费电子概念;汽车电子;比亚迪概念;商业航天;卫星导航;专精特新;新能源汽车;军工;华为概念;充电桩;央企国企改革;国企改革;中字头股票;融资融券;深股通,22
601886.SH,17,601886,民营医院;装配式建筑;建筑节能;光伏建筑一体化;医美概念;眼科医疗;绿色电力;一带一路;融资融券;数字经济;光伏概念;高股息精选;沪股通,13
603806.SH,17,603806,BC电池;HJT电池;POE胶膜;光伏概念;储能;固态电池;MicroLED概念;MiniLED;PCB概念;沪股通;融资融券,11
300014.SZ,33,300014,钠离子电池;固态电池;两轮车;锂电池概念;新型烟草(电子烟);储能;脑机接口;盐湖提锂;无线耳机;燃料电池;同花顺漂亮100;氢能源;智能电网;新能源汽车;长安汽车概念;小米概念;人形机器人;粤港澳大湾区;机器人概念;安防;华为概念;飞行汽车(eVTOL);深股通;融资融券;低空经济;无人机;商业航天,27
688109.SH,17,688109,AI眼镜;智能穿戴;机器视觉;华为昇腾;机器人概念;数字孪生;无人驾驶;人工智能;AI智能体;AIGC概念;数据要素;数字经济;DeepSeek概念;共同富裕示范区;水利;雅下水电概念;物业管理;沪股通;融资融券,19
300693.SZ,33,300693,虚拟电厂;高压快充;数据中心;储能;充电桩;宁德时代概念;换电概念;锂电池概念;专精特新;新能源汽车;比亚迪概念;深股通;融资融券,13
600032.SH,17,600032,抽水蓄能;绿色电力;风电;国企改革;氢能源;沪股通;融资融券,7
300565.SZ,33,300565,光纤概念;5G;液冷服务器;数据中心;智慧灯杆;太赫兹;物联网;数字孪生;储能;粤港澳大湾区;锂电池概念,11
688668.SH,17,688668,铜缆高速连接;液冷服务器;英伟达概念;5G;比亚迪概念;新能源汽车;2025年报预增;机器视觉;长安汽车概念;商业航天;融资融券;沪股通,12
600355.SH,22,600355,电子身份证;ST板块;国产操作系统;新型工业化;工业互联网;机器人概念;机器视觉;人脸识别;人工智能;充电桩;语音技术;物联网;OLED;智能电网;在线教育,15
688223.SH,17,688223,BC电池;钙钛矿电池;TOPCON电池;光伏概念;储能;同花顺漂亮100;DeepSeek概念;人民币贬值受益;沪股通;融资融券,10
603929.SH,17,603929,中芯国际概念;OLED;芯片概念;富士康概念;柔性屏(折叠屏);华为概念;海峡两岸;沪股通;长三角一体化,9
001203.SZ,33,001203,固态电池;小金属概念;锂电池概念;金属铅;金属锌;金属回收;储能;绿色电力;回购增持再贷款概念;参股银行;西部大开发;乡村振兴;创投;职业教育;旅游概念;深股通,16
688345.SH,17,688345,固态电池;钠离子电池;锂电池概念;储能;两轮车;数据中心;机器人概念;融资融券,8
002772.SZ,33,002772,农业种植;乡村振兴;西部大开发;回购增持再贷款概念;2025年报预增,5
000638.SZ,33,000638,军民融合;民营医院;生物疫苗;重组蛋白;肝炎概念;玉米;粮食概念;京津冀一体化;ST板块,9
002810.SZ,33,002810,锂电池概念;专精特新;人民币贬值受益;融资融券;深股通,5
002800.SZ,33,002800,中俄贸易概念;一带一路;统一大市场;冷链物流;跨境电商;西部大开发;新疆振兴,7
600121.SH,17,600121,煤炭概念;国企改革;工业互联网;机器人概念;DeepSeek概念;数据要素;安防;信创;东数西算(算力);沪股通;融资融券,11
300274.SZ,33,300274,宁德时代概念;虚拟电厂;储能;光伏概念;氢能源;充电桩;风电;数据中心;同花顺漂亮100;新能源汽车;深股通;融资融券;回购增持再贷款概念;数字经济,14
605162.SH,17,605162,虚拟电厂;碳交易;碳中和;储能,4
300879.SZ,33,300879,减速器;农机;跨境电商;人民币贬值受益;机器人概念;乡村振兴;物联网;锂电池概念;氢能源;储能;深股通;股权转让(并购重组);融资融券,13
600608.SH,22,600608,ST板块;国企改革,2
000966.SZ,33,000966,超超临界发电;生物质能发电;绿色电力;抽水蓄能;碳交易;虚拟电厂;风电;光热发电;碳中和;央企国企改革;储能;国企改革;创投;融资融券;深股通,15
001325.SZ,33,001325,注册制次新股;参股银行;农机;冰雪产业;新股与次新股;融资融券,6
600696.SH,22,600696,白酒概念;ST板块,2
603876.SH,17,603876,钠离子电池;固态电池;宁德时代概念;锂电池概念;比亚迪概念;储能;回购增持再贷款概念;2025年报预增;沪股通;融资融券,10
688390.SH,17,688390,光伏建筑一体化;虚拟电厂;光伏概念;储能;回购增持再贷款概念;智能电网;沪股通;融资融券,8
688411.SH,17,688411,华为数字能源;固态电池;智能电网;储能;充电桩;数据中心;新能源汽车;专精特新;华为概念;智能物流;DeepSeek概念;沪股通;融资融券,13
601015.SH,17,601015,煤炭概念;煤化工概念;天然气;西部大开发;沪股通;污水处理;融资融券,7
603843.SH,22,603843,赛马概念;ST板块;特色小镇;PPP概念;新型城镇化;地下管网;盐湖提锂;固废处理;水利;旅游概念;算力租赁;西部大开发;一带一路;光伏概念;乡村振兴;东数西算(算力);充电桩;智慧政务;雅下水电概念;小金属概念;金属铜;金属锌,22
000908.SZ,33,000908,眼科医疗;基因测序;流感;创新药;仿制药一致性评价;ST板块;医美概念;医疗器械概念;消毒剂,9
600381.SH,22,600381,ST板块;西部大开发;白酒概念,3
603398.SH,22,603398,ST板块;医疗器械概念;三胎概念;机器人概念;光伏概念;TOPCON电池;人工智能;IP经济(谷子经济);区块链;硅能源,10
603580.SH,22,603580,ST板块;人民币贬值受益;消费电子概念;海峡两岸,4
688313.SH,17,688313,共封装光学(CPO);F5G概念;光纤概念;5G;芯片概念;数据中心;2025年报预增;专精特新;沪股通;融资融券,10
000973.SZ,33,000973,固态电池;锂电池概念;宁德时代概念;比亚迪概念;OLED;国企改革;粤港澳大湾区;证金持股;特高压;融资融券;航运概念;AI眼镜;深股通;股权转让(并购重组),14
603813.SH,22,603813,冷链物流;统一大市场;智能物流;ST板块;数字经济;燃料电池;氢能源;粤港澳大湾区,8
000968.SZ,33,000968,俄乌冲突概念;天然气;煤炭概念;新疆振兴;国企改革;深股通;融资融券,7
000669.SZ,33,000669,ST板块;天然气,2
688519.SH,17,688519,PCB概念;共封装光学(CPO);存储芯片;MiniLED;5G;新能源汽车;2025年报预增;专精特新;华为概念;沪股通;融资融券,11
920779.BJ,151,920779,宁德时代概念;锂电池概念;融资融券;消费电子概念;比亚迪概念;固态电池,6
600113.SH,17,600113,统一大市场;预制菜;乡村振兴;冷链物流;参股银行;中俄贸易概念;国企改革;共同富裕示范区;人工智能;长三角一体化;智能医疗;融资融券;沪股通,13
301183.SZ,33,301183,共封装光学(CPO);F5G概念;华为手机;6G概念;消费电子概念;汽车电子;小米概念;2025年报预增;专精特新;无人驾驶;虚拟现实;华为概念;深股通;融资融券,14
688106.SH,17,688106,俄乌冲突概念;天然气;氢能源;可控核聚变;中芯国际概念;光伏概念;碳中和;固态电池;存储芯片;燃料电池;核电;商业航天;第三代半导体;锂电池概念;回购增持再贷款概念;冷链物流;专精特新;芯片概念;长三角一体化;沪股通;融资融券,21
605167.SH,17,605167,核电;氢能源;海工装备;新型工业化;固废处理;中俄贸易概念;一带一路;天然气,8
001267.SZ,33,001267,共封装光学(CPO);铜缆高速连接;污水处理;土壤修复;新型城镇化;乡村振兴;深股通;股权转让(并购重组),8
000711.SZ,33,000711,土壤修复;固废处理;污水处理;ST板块;金属回收;PPP概念;黑龙江自贸区;金属锌;雄安新区;水利;小金属概念;一带一路;乡村振兴;无人机;物联网,15
688325.SH,17,688325,芯片概念;专精特新;锂电池概念;回购增持再贷款概念;沪股通;融资融券,6
688719.SH,17,688719,可控核聚变;数据中心;华为概念;智能电网;比亚迪概念;储能;燃料电池;新能源汽车;西部大开发;融资融券,10
