market_code,股票代码,code,所属概念数量,所属概念
17,600487.SH,600487,31,光纤概念;F5G概念;共封装光学(CPO);特高压;柔性直流输电;液冷服务器;智能电网;风电;数据中心;5G;海工装备;长三角一体化;芯片概念;新能源汽车;一带一路;太赫兹;小米汽车;6G概念;华为概念;水利;机器人概念;人形机器人;无人驾驶;量子科技;创投;军工;智慧城市;沪股通;融资融券;DeepSeek概念;网络安全
17,600478.SH,600478,19,动力电池回收;锂电池概念;固态电池;小金属概念;氢能源;储能;燃料电池;两轮车;新能源汽车;军工;数据中心;共享单车;2025年报预增;商业航天;航空发动机;军民融合;区块链;融资融券;沪股通
33,000010.SZ,000010,6,新型城镇化;PPP概念;水利;东数西算(算力);抽水蓄能;煤炭概念
17,600498.SH,600498,36,6G概念;华为昇腾;AI智能体;卫星导航;云计算;光纤概念;商业航天;智慧政务;网络安全;华为鲲鹏;数据要素;数据安全;F5G概念;东数西算(算力);WiFi 6;智能医疗;数字乡村;国资云;人工智能;DeepSeek概念;数据中心;5G;智慧城市;海工装备;共封装光学(CPO);特高压;液冷服务器;创投;芯片概念;一带一路;MCU芯片;央企国企改革;汽车芯片;国企改革;沪股通;融资融券
33,002970.SZ,002970,20,EDR概念;多模态AI;星闪概念;鸿蒙概念;智能座舱;人工智能;毫米波雷达;无人驾驶;汽车电子;云计算;车联网(车路协同);比亚迪概念;机器视觉;卫星导航;物联网;人脸识别;新能源汽车;垃圾分类;专精特新;深股通
17,603308.SH,603308,17,可控核聚变;航空发动机;核电;海工装备;风电;高端装备;大飞机;3D打印;军工;商业航天;核污染防治;无人机;工业互联网;一带一路;参股银行;沪股通;融资融券
33,000534.SZ,000534,8,航空发动机;大飞机;军工;无人机;低空经济;创新药;深股通;融资融券
17,603530.SH,603530,9,柔性直流输电;特高压;智能电网;抽水蓄能;风电;核电;绿色电力;沪股通;融资融券
33,002913.SZ,002913,17,PCB概念;富士康概念;AI PC;MiniLED;汽车电子;5G;英伟达概念;新能源汽车;小米概念;华为数字能源;数据中心;6G概念;人民币贬值受益;华为概念;深股通;抖音概念(字节概念);融资融券
17,603315.SH,603315,13,核电;抽水蓄能;超超临界发电;锂电池概念;宁德时代概念;特钢概念;军工;中俄贸易概念;石墨电极;专精特新;东数西算(算力);算力租赁;俄乌冲突概念
33,000546.SZ,000546,9,金属镍;盐湖提锂;小金属概念;金属铜;金属回收;锂电池概念;固废处理;医疗废物处理;垃圾分类
17,603912.SH,603912,10,液冷服务器;数据中心;算力租赁;5G;华为概念;腾讯概念;阿里巴巴概念;抖音概念(字节概念);百度概念;专精特新
33,001896.SZ,001896,18,抽水蓄能;超超临界发电;风电;碳中和;绿色电力;储能;煤炭概念;充电桩;光伏建筑一体化;工业互联网;国企改革;智能物流;华为概念;创投;东数西算(算力);人工智能;深股通;融资融券
17,600841.SH,600841,11,汽车芯片;农机;数据中心;换电概念;新能源汽车;无人驾驶;工业互联网;氢能源;上海国企改革;国企改革;沪股通
33,002491.SZ,002491,13,光纤概念;数据中心;长三角一体化;5G;储能;独角兽概念;网络安全;专精特新;数字水印;数据安全;固态电池;深股通;融资融券
33,002546.SZ,002546,8,智能电网;电力物联网;虚拟电厂;充电桩;2025年报预增;物联网;数据要素;深股通
33,002099.SZ,002099,9,染料;仿制药一致性评价;人民币贬值受益;创新药;减肥药;肝炎概念;生物疫苗;深股通;融资融券
