所属概念数量,market_code,code,股票代码,所属概念
24,33,002938,002938.SZ,同花顺果指数;共封装光学(CPO);富士康概念;PCB概念;MiniLED;AI PC;AI手机;苹果概念;汽车电子;AI眼镜;消费电子概念;智能穿戴;无线耳机;商业航天;智能座舱;虚拟现实;无人驾驶;华为概念;新能源汽车;人形机器人;海峡两岸;人民币贬值受益;融资融券;深股通
10,17,603938,603938.SH,光纤概念;芯片概念;存储芯片;有机硅概念;海峡两岸;光伏概念;京津冀一体化;硅能源;沪股通;融资融券
8,17,600726,600726.SH,超超临界发电;绿色电力;煤炭概念;风电;黑龙江自贸区;国企改革;央企国企改革;沪股通
45,33,002929,002929.SZ,算力租赁;华为昇腾;云办公;东数西算(算力);多模态AI;数据安全;信创;数据中心;空间计算;阿里巴巴概念;百度概念;AI智能体;5G;虚拟数字人;元宇宙;数字乡村;数据要素;MR(混合现实);智慧灯杆;AI应用;数字孪生;华为数字能源;华为概念;电力物联网;智慧城市;虚拟现实;DeepSeek概念;人工智能;智能电网;无人机;军工;机器人概念;低空经济;工业互联网;虚拟电厂;充电桩;光伏概念;储能;雄安新区;跨境电商;一带一路;乡村振兴;西部大开发;融资融券;深股通
4,17,603093,603093.SH,期货概念;参股券商;数字经济;沪股通
4,33,002918,002918.SZ,创投;智能家居;数据中心;深股通
10,17,601991,601991.SH,绿色电力;风电;储能;雅下水电概念;核电;央企国企改革;国企改革;2025年报预增;沪股通;融资融券
29,33,002364,002364.SZ,中国AI 50;数据中心;5G;东数西算(算力);高压快充;智能电网;特高压;核电;华为概念;储能;虚拟电厂;充电桩;宁德时代概念;换电概念;海工装备;百度概念;阿里巴巴概念;新能源汽车;风电;腾讯概念;工业互联网;数字孪生;氢能源;水利;碳中和;拼多多概念;两轮车;深股通;融资融券
8,33,001210,001210.SZ,建筑节能;京津冀一体化;数据中心;工业互联网;储能;液冷服务器;新疆振兴;2025年报预增
29,17,601138,601138.SH,同花顺果指数;共封装光学(CPO);富士康概念;英伟达概念;液冷服务器;苹果概念;5G;同花顺新质50;芯片概念;虚拟现实;数据中心;东数西算(算力);算力租赁;海峡两岸;2025年报预增;阿里巴巴概念;云计算;物联网;新能源汽车;同花顺出海50;机器人概念;人工智能;智慧城市;工业互联网;创投;医疗器械概念;同花顺漂亮100;沪股通;融资融券
15,33,001309,001309.SZ,存储芯片;AI PC;中芯国际概念;芯片概念;共封装光学(CPO);数据中心;汽车电子;智能穿戴;2025年报预增;专精特新;粤港澳大湾区;人工智能;人民币贬值受益;融资融券;深股通
6,17,600707,600707.SH,OLED;人民币贬值受益;西部大开发;国企改革;融资融券;沪股通
14,17,603629,603629.SH,算力租赁;东数西算(算力);液冷服务器;云计算;英伟达概念;腾讯概念;军工;华为概念;芯片概念;消费电子概念;小米概念;OLED;2025年报预增;沪股通
12,33,002290,002290.SZ,芯片概念;东数西算(算力);2025年报预增;信创;家用电器;智能物流;人工智能;云游戏;DeepSeek概念;智能医疗;文化传媒概念;深股通
15,17,600183,600183.SH,PCB概念;共封装光学(CPO);先进封装;存储芯片;MiniLED;毫米波雷达;汽车电子;5G;芯片概念;新能源汽车;2025年报预增;商业航天;华为概念;沪股通;融资融券
26,33,002851,002851.SZ,第三代半导体;中国AI 50;芯片概念;数据中心;英伟达概念;超级电容;小米概念;高端装备;高压快充;新型工业化;新能源汽车;智能电网;机器人概念;光伏概念;充电桩;高铁;储能;车联网(车路协同);长安汽车概念;家用电器;智能家居;风电;一带一路;医疗器械概念;融资融券;深股通
14,17,603290,603290.SH,MCU芯片;汽车芯片;第三代半导体;芯片概念;数据中心;高压快充;新能源汽车;低空经济;储能;专精特新;人民币贬值受益;光伏概念;融资融券;沪股通
33,33,000811,000811.SZ,超导概念;液冷服务器;中芯国际概念;可控核聚变;数据中心;3D打印;核电;海工装备;军工;储能;新能源汽车;海峡两岸;燃料电池;雅下水电概念;机器人概念;氢能源;空气能热泵;固态电池;水利;碳中和;回购增持再贷款概念;人工智能;创投;中俄贸易概念;智能物流;国企改革;体育产业;冷链物流;融资融券;宠物经济;天然气;冰雪产业;深股通
15,33,002843,002843.SZ,AI PC;数据中心;军工;商业航天;苹果概念;高压快充;智能穿戴;消费电子概念;华为概念;充电桩;光伏概念;储能;一带一路;深股通;融资融券
5,17,603120,603120.SH,专精特新;光刻胶;芯片概念;环氧丙烷;融资融券
5,17,603156,603156.SH,创投;超级品牌;高股息精选;沪股通;融资融券
9,17,605286,605286.SH,虚拟电厂;东数西算(算力);人工智能;绿色电力;储能;风电;新型城镇化;氢能源;沪股通
34,17,605589,605589.SH,PCB概念;先进封装;光刻胶;OLED;6G概念;存储芯片;固态电池;丙烯酸;石墨烯;钠离子电池;超级电容;芯片概念;锂电池概念;染料;3D打印;硅能源;代糖概念;储能;新能源汽车;军工;商业航天;高端装备;风电;核电;大飞机;高铁;绿色电力;建筑节能;合成生物;光伏建筑一体化;CRO概念;创新药;沪股通;融资融券
