所属概念数量,股票代码,所属概念,market_code,code
7,688082.SH,存储芯片;先进封装;中芯国际概念;第三代半导体;芯片概念;沪股通;融资融券,17,688082
10,000970.SZ,稀土永磁;机器人概念;新能源汽车;苹果概念;人民币贬值受益;国企改革;小金属概念;深股通;融资融券;中字头股票,33,000970
9,688652.SH,中芯国际概念;存储芯片;芯片概念;专精特新;高端装备;京津冀一体化;国企改革;沪股通;融资融券,17,688652
24,002768.SZ,光刻胶;丙烯酸;环氧丙烷;锂电池概念;PEEK材料;碳纤维;可降解塑料;富士康概念;比亚迪概念;储能;小米概念;新能源汽车;华为概念;人造肉;机器人概念;充电桩;风电;人形机器人;华为汽车;足球概念;体育产业;医美概念;融资融券;深股通,33,002768
25,600584.SH,国家大基金持股;存储芯片;先进封装;中芯国际概念;共封装光学(CPO);汽车芯片;同花顺果指数;第三代半导体;芯片概念;苹果概念;汽车电子;毫米波雷达;智能穿戴;无人驾驶;机器人概念;物联网;人民币贬值受益;沪股通;融资融券;人工智能;绿色电力;央企国企改革;国企改革;玻璃基板;股权转让(并购重组),17,600584
18,603333.SH,氟化工概念;专精特新;水利;高铁;西部大开发;海工装备;核电;一带一路;特高压;军工;光伏概念;新能源汽车;充电桩;储能;锂电池概念;风电;沪股通;股权转让(并购重组),17,603333
14,002329.SZ,乳业;绿色电力;生态农业;乡村振兴;跨境电商;三胎概念;西部大开发;文化传媒概念;数字经济;智慧城市;一带一路;冷链物流;光伏概念;融资融券,33,002329
38,300376.SZ,股权转让(并购重组);智慧城市;电力物联网;人工智能;数字乡村;ETC;军民融合;空气能热泵;东数西算(算力);虚拟电厂;华为概念;智能电网;换电概念;军工;数据中心(AIDC);柔性直流输电;新疆振兴;风电;商业航天;粤港澳大湾区;新能源汽车;充电桩;抽水蓄能;比亚迪概念;国企改革;储能;光伏建筑一体化;液冷服务器;绿色电力;特斯拉概念;高压快充;5G;锂电池概念;钠离子电池;芯片概念;第三代半导体;深股通;摘帽,33,300376
9,603616.SH,地下管网;京津冀一体化;水利;土壤修复;雄安新区;PPP概念;PEEK材料;一带一路;股权转让(并购重组),17,603616
21,002281.SZ,F5G概念;光纤概念;共封装光学(CPO);6G概念;5G;液冷服务器;芯片概念;量子科技;数据中心(AIDC);东数西算(算力);华为概念;阿里巴巴概念;抖音概念(字节概念);腾讯概念;百度概念;央企国企改革;国企改革;深股通;融资融券;先进封装;股权转让(并购重组),33,002281
