股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
002492.SZ,恒基达鑫,9.03,9.987819732034087,涨停,1,0, 09:48:30, 09:48:30,横琴新区+创投+石化仓储,,,,33,002492
603396.SH,金辰股份,41.24,10.002667377967457,涨停,1,0, 09:32:48, 09:32:48,光伏设备+钙钛矿电池+海外布局,,,,17,603396
600986.SH,浙文互联,12.05,10.045662100456635,涨停,1,0, 09:48:19, 10:48:37,AI营销+GEO概念+浙江国资,,,,17,600986
600774.SH,汉商集团,11.55,10.000000000000007,涨停,1,0, 09:40:50, 09:44:32,创新药+辅助生殖+聚乳酸,,,,17,600774
000565.SZ,渝三峡A,8.8,10.000000000000009,涨停,1,0, 10:58:51, 10:58:51,辐射制冷+商业航天+军工涂料+重庆国资,,,,33,000565
688270.SH,臻镭科技,215.93,20.001111481604983,涨停,1,0, 11:20:03, 14:06:03,商业航天+卫星通信+芯片供应商,,,,17,688270
603612.SH,索通发展,29.15,9.999999999999996,涨停,1,0, 14:01:55, 14:56:16,固态电池+预焙阳极+海外扩产,,,,17,603612
603773.SH,沃格光电,42.55,10.005170630816954,涨停,1,0, 13:02:18, 13:02:18,商业航天+玻璃基板+CPO+MiniLED,,,,17,603773
300751.SZ,迈为股份,324.36,20.0,涨停,1,0, 09:35:18, 09:35:18,光伏设备+HBM设备,,,,33,300751
600916.SH,中国黄金,9.22,10.023866348448685,涨停,1,0, 09:51:23, 10:24:53,金价新高+黄金销售+央企,,,,17,600916
002339.SZ,积成电子,11.48,9.961685823754799,涨停,1,0, 10:02:33, 10:02:33,电网设备+中标+特高压,,,,33,002339
603051.SH,鹿山新材,27.57,10.015961691939353,涨停,1,0, 10:24:39, 10:24:39,太空光伏+人形机器人+电子皮肤,,,,17,603051
603078.SH,江化微,31.36,9.996492458786383,涨停,5,0, 09:25:01, 10:00:28,上海国资入主+芯片材料+光刻胶+复牌,,,,17,603078
003004.SZ,*ST声迅,29.67,4.989384288747345,涨停,1,0, 10:06:57, 14:38:39,AI医疗+智能安检+军工信息化+亏损收窄,,,,33,003004
603920.SH,世运电路,65.71,9.993304318714415,涨停,1,0, 13:01:32, 13:28:44,人形机器人+商业航天+佛山国资,,,,17,603920
601615.SH,明阳智能,21.65,10.01016260162601,涨停,2,0, 09:25:04, 09:25:04,收购芯片+氢能燃机+风电龙头+复牌,,,,17,601615
600498.SH,烽火通信,41.82,9.994739610731186,涨停,1,0, 10:18:49, 10:34:16,商业航天+光通信+央企,,,,17,600498
002667.SZ,威领股份,17.6,10.000000000000009,涨停,1,0, 14:36:30, 14:36:30,碳酸锂+郴州锂矿+有色金属,,,,33,002667
300861.SZ,美畅股份,19.3,20.024875621890562,涨停,1,0, 13:21:12, 14:17:21,光伏+金刚石线+钨丝金刚线,,,,33,300861
301149.SZ,隆华新材,13.8,20.000000000000004,涨停,1,0, 10:21:48, 10:21:48,聚醚扩产+人形机器人+新材料,,,,33,301149
002865.SZ,钧达股份,99.44,9.999999999999991,涨停,2,0, 09:30:12, 09:30:12,太空光伏+配售H股+TOPCon电池,,,,33,002865
300345.SZ,华民股份,8.0,19.940029985007495,涨停,1,0, 10:13:51, 13:25:36,晶澳增资+光伏硅片+人形机器人,,,,33,300345
002005.SZ,ST德豪,3.14,5.0167224080267525,涨停,1,0, 13:38:24, 14:56:03,三季报扭亏+LED封装+横琴新区+ST板块,,,,33,002005
000608.SZ,*ST阳光,3.55,5.029585798816566,涨停,1,0, 11:10:00, 13:12:33,控制权变更+商业地产+ST板块,,,,33,000608
002506.SZ,协鑫集成,3.14,10.17543859649123,涨停,1,0, 09:31:57, 09:31:57,光伏设备+TOPCon+光储一体化,,,,33,002506
920414.BJ,欧普泰,17.21,29.984894259818734,涨停,1,0, 09:32:33, 09:33:48,光伏检测+AI视觉,,,,151,920414
002658.SZ,雪迪龙,10.74,10.040983606557381,涨停,1,0, 09:56:18, 09:56:18,商业航天+芯片概念+碳监测,,,,33,002658
300385.SZ,雪浪环境,9.85,19.975639464068195,涨停,1,0, 10:48:27, 13:18:45,预重整+固废处理+常州国资,,,,33,300385
601012.SH,隆基绿能,19.35,10.00568504832292,涨停,1,0, 13:00:38, 13:00:38,光伏组件+BC电池+储能布局,,,,17,601012
920368.BJ,连城数控,47.16,29.988974641675842,涨停,1,0, 10:51:27, 13:00:03,光伏设备+半导体装备+隆基绿能,,,,151,920368
