name,code,open,涨停价,跌停价
本川智能,300964,56.13,67.28,44.86
创识科技,300941,23.88,28.57,19.05
南方泵业,300145,4.74,5.71,3.81
百克生物,688276,19.02,22.82,15.22
皖维高新,600063,6.01,6.53,5.35
伟星股份,2003,10.69,11.76,9.62
泰禾股份,301665,28.48,34.18,22.78
蕾奥规划,300989,17.8,21.36,14.24
正丹股份,300641,17.9,21.36,14.24
金力永磁,300748,34.48,41.28,27.52
鼎龙股份,300054,38.05,45.5,30.34
先达股份,603086,8.38,9.12,7.46
红日药业,300026,3.56,4.26,2.84
秦川机床,837,13.02,14.29,11.69
上汽集团,600104,15.36,16.89,13.82
安达科技,920809,7.08,9.2,4.96
海利得,2206,5.87,6.49,5.31
盛德鑫泰,300881,34.22,40.98,27.32
瑞茂通,600180,3.51,3.88,3.18
卓锦股份,688701,8.24,9.86,6.58
*ST华嵘,600421,7.01,7.39,6.69
四川黄金,1337,28.07,30.91,25.29
英诺激光,301021,49.23,58.88,39.26
肯特股份,301591,40.59,49.07,32.71
上海贝岭,600171,31.6,34.67,28.37
软通动力,301236,48.2,57.41,38.27
浙江鼎力,603338,57.2,62.84,51.42
恩捷股份,2812,57.14,62.84,51.42
甘肃能化,552,2.33,2.56,2.1
河钢股份,709,2.32,2.56,2.1
茂硕电源,2660,9.29,10.22,8.36
长电科技,600584,37.26,40.81,33.39
鸣志电器,603728,74.06,80.28,65.68
拓邦股份,2139,13.98,15.29,12.51
泓淋电力,301439,15.08,18.05,12.03
济川药业,600566,26.41,29.18,23.88
灵康药业,603669,4.58,5.06,4.14
鲁北化工,600727,6.92,7.59,6.21
中矿资源,2738,79.24,87.16,71.32
皖能电力,543,8.06,8.82,7.22
宝泰隆,601011,3.43,3.77,3.09
ST华扬,603825,9.12,9.6,8.68
希荻微,688173,15.0,17.8,11.86
嘉华股份,603182,15.85,17.56,14.36
超讯通信,603322,38.7,42.57,34.83
西部证券,2673,7.96,8.76,7.16
顺鑫农业,860,14.8,16.26,13.3
永贵电器,300351,18.24,21.83,14.55
福斯达,603173,43.2,47.52,38.88
无锡晶海,920547,23.71,31.01,16.71
盘古智能,301456,31.77,38.14,25.42
南极电商,2127,3.41,3.74,3.06
韵达股份,2120,6.8,7.48,6.12
弘宇股份,2890,14.78,16.2,13.26
*ST天龙,300029,4.46,5.44,3.62
中孚实业,600595,7.86,8.71,7.13
九洲药业,603456,18.06,19.87,16.25
中国人保,601319,9.03,9.93,8.13
*ST宝实,595,5.65,5.92,5.36
华兴源创,688001,30.2,36.54,24.36
美的集团,333,78.87,86.74,70.97
正泰电器,601877,28.2,30.95,25.33
新莱福,301323,55.11,66.07,44.05
艾迪精密,603638,19.1,21.01,17.19
神宇股份,300563,36.94,44.41,29.61
英力特,635,8.97,9.87,8.07
江瀚新材,603281,28.11,30.8,25.2
常友科技,301557,130.06,158.36,105.58
回天新材,300041,11.27,13.42,8.94
新华医疗,600587,14.5,15.98,13.08
华大九天,301269,107.36,128.75,85.83
博腾股份,300363,23.4,28.14,18.76
泰坦股份,3036,15.62,17.18,14.06
科沃斯,603486,81.95,89.55,73.27
楚江新材,2171,13.39,14.72,12.04
拓普集团,601689,77.89,85.67,70.09
苏州天脉,301626,0.0,225.59,150.39
南微医学,688029,81.9,98.76,65.84
华致酒行,300755,17.7,21.34,14.22
一鸣食品,605179,21.17,23.21,18.99
安靠智电,300617,32.14,38.63,25.75
贵州茅台,600519,1390.0,1528.69,1250.75
长鸿高科,605008,14.4,15.84,12.96
顶固集创,300749,12.19,14.62,9.74
上海合晶,688584,22.17,26.57,17.71
思源电气,2028,156.0,171.6,140.4
安道麦A,553,5.53,6.08,4.98
秉扬科技,920675,9.93,12.9,6.96
海优新材,688680,38.55,46.32,30.88
威领股份,2667,13.21,14.53,11.89
邵阳液压,301079,30.35,38.28,25.52
麦克奥迪,300341,16.51,19.79,13.19
惠威科技,2888,20.22,21.75,17.79
利尔化学,2258,13.08,14.49,11.85
贝斯美,300796,8.77,10.52,7.02
伊之密,300415,26.3,31.56,21.04
天佑德酒,2646,8.71,9.6,7.86
开山股份,300257,14.18,17.02,11.34
潍柴动力,338,17.46,19.1,15.62
信邦制药,2390,3.25,3.58,2.93
安图生物,603658,35.85,39.33,32.18
中农立华,603970,12.98,14.28,11.68
佳力图,603912,8.66,9.52,7.79
机器人,300024,18.5,22.03,14.69
