股票代码,股票简称,最高价,收盘价,涨跌幅,成交额,涨停价,跌停价
300097,ST智云,7.18,7.12,0.85,59743180.0,8.47,5.65
603153,上海建科,17.85,17.83,0.85,45284260.0,19.45,15.91
300082,奥克股份,10.79,10.71,0.85,341720560.0,12.74,8.5
603662,柯力传感,70.67,70.44,0.84,691932097.34,76.84,62.87
000625,长安汽车,11.95,11.95,0.84,1238021410.0,13.04,10.67
300852,四会富仕,39.66,39.47,0.84,252516460.0,46.97,31.31
600507,方大特钢,6.02,5.99,0.84,169606384.98,6.53,5.35
603099,长白山,45.68,45.55,0.84,355208669.93,49.69,40.65
600101,明星电力,9.64,9.62,0.84,182639853.78,10.49,8.59
002687,乔治白,4.83,4.82,0.84,52838913.0,5.26,4.3
000709,河钢股份,2.44,2.41,0.84,273913610.0,2.63,2.15
300434,金石亚药,10.87,10.87,0.83,140037990.0,12.94,8.62
600529,山东药玻,20.59,20.55,0.83,271206422.32,22.42,18.34
002444,巨星科技,37.7,37.53,0.83,503905070.0,40.94,33.5
603669,灵康药业,4.86,4.85,0.83,48029783.42,5.29,4.33
300254,仟源医药,11.11,10.93,0.83,139061000.0,13.01,8.67
002086,东方海洋,2.45,2.43,0.83,167736400.0,2.65,2.17
600824,益民集团,4.86,4.86,0.83,281055163.71,5.3,4.34
001222,源飞宠物,23.25,23.23,0.82,65016558.0,25.34,20.74
688129,东来技术,20.88,20.79,0.82,22673789.13,24.74,16.5
603061,金海通,193.97,188.6,0.82,657668654.5,205.77,168.35
301131,聚赛龙,49.57,49.14,0.82,50125477.0,58.49,38.99
301552,科力装备,39.41,39.4,0.82,57756079.0,46.9,31.26
002746,仙坛股份,6.17,6.17,0.82,93429908.0,6.73,5.51
301633,港迪技术,71.69,71.58,0.82,48581870.0,85.2,56.8
002614,奥佳华,7.43,7.41,0.82,167715500.0,8.09,6.62
301526,国际复材,7.58,7.41,0.82,809785520.0,8.82,5.88
600227,赤天化,2.47,2.47,0.82,77769234.52,2.7,2.21
688193,仁度生物,51.8,50.65,0.82,29941282.93,60.29,40.19
000078,海王生物,3.72,3.71,0.82,615082550.0,4.05,3.31
600366,宁波韵升,14.9,14.84,0.82,1027349812.21,16.19,13.25
603041,美思德,12.46,12.4,0.81,37413059.0,13.53,11.07
