market_code,股票代码,涨停原因类别[20260703],code
33,000639.SZ,高管增持+玉米油龙头+控制权变更预期,000639
33,002514.SZ,,002514
33,000821.SZ,钙钛矿设备+机器人+ST板块+回购,000821
22,600734.SH,算力合同+智算中心+福建国资+一季报减亏,600734
17,605358.SH,,605358
33,002199.SZ,ST摘帽+石英晶体元器件+碳酸锂,002199
33,002520.SZ,人形机器人+数控螺纹磨床+高端数控机床,002520
17,601100.SH,线性驱动器项目+液压油缸+分红,601100
33,002528.SZ,预重整+智慧城市+深圳国资,002528
33,300912.SZ,人形机器人+获一汽解放定点+拟收购金旺达,300912
33,002650.SZ,资产收回+调味品+一季度扭亏+ST摘帽预期,002650
22,603557.SH,铝业转型+ST板块+儿童消费品,603557
17,688096.SH,,688096
