code,所属概念,market_code,所属概念数量,股票代码
002418,液冷服务器;石墨烯;数据中心;汽车热管理;超级电容;锂电池概念;动力电池回收;新能源汽车;空气能热泵;东数西算(算力);无人驾驶;储能;充电桩;氢能源;算力租赁;家用电器,33,16,002418.SZ
301230,AI应用;ChatGPT概念;CRO概念;多模态AI;智能医疗;人工智能;创新药;流感;合成生物;医疗器械概念;2025年报预增;人民币贬值受益;融资融券,33,13,301230.SZ
301106,智能家居;家用电器;电力物联网;汽车电子;新能源汽车;比亚迪概念;消费电子概念;智能座舱;星闪概念;智能电网;5G;PCB概念;新型烟草(电子烟);两轮车;股权转让(并购重组);融资融券,33,16,301106.SZ
300901,三胎概念;虚拟数字人;多模态AI;AIGC概念;人民币贬值受益;东数西算(算力);英伟达概念;新疆振兴;融资融券,33,9,300901.SZ
301365,AIGC概念;人工智能;创投;新型城镇化;粤港澳大湾区;2025年报预增;融资融券,33,7,301365.SZ
301191,F5G概念;6G概念;WiFi 6;5G;数据中心;网络安全;芯片概念;华为概念;汽车电子;信创;安防;小米概念;智能座舱;车联网(车路协同);粤港澳大湾区;创投;深股通;融资融券,33,18,301191.SZ
600961,金属锌;金属铅;黄金概念;金属铜;小金属概念;金属回收;央企国企改革;国企改革;融资融券;沪股通,17,10,600961.SH
300567,国家大基金持股;中芯国际概念;存储芯片;先进封装;OLED;富士康概念;MiniLED;柔性屏(折叠屏);芯片概念;苹果概念;AI眼镜;小米概念;比亚迪概念;宁德时代概念;MR(混合现实);机器视觉;锂电池概念;华为概念;虚拟现实;深股通;融资融券,33,21,300567.SZ
688382,创新药;沪股通;融资融券,17,3,688382.SH
301393,CRO概念;减肥药;创新药;深股通;融资融券,33,5,301393.SZ
301631,人形机器人;华为汽车;新能源汽车;低空经济;数据中心;粤港澳大湾区;储能;宁德时代概念;燃料电池;锂电池概念;固态电池;深股通;融资融券,33,13,301631.SZ
601138,富士康概念;同花顺果指数;共封装光学(CPO);英伟达概念;苹果概念;芯片概念;液冷服务器;5G;同花顺新质50;新能源汽车;虚拟现实;机器人概念;数据中心;2025年报预增;海峡两岸;物联网;东数西算(算力);同花顺出海50;工业互联网;算力租赁;人工智能;智慧城市;阿里巴巴概念;云计算;医疗器械概念;创投;同花顺漂亮100;沪股通;融资融券,17,29,601138.SH
688678,富士康概念;消费电子概念;苹果概念;特斯拉概念;比亚迪概念;人形机器人;新能源汽车;2026一季报预增;机器人概念;光伏概念;TOPCON电池;海峡两岸;医疗器械概念;沪股通;融资融券,17,15,688678.SH
