market_code,所属概念,股票代码,code,所属概念数量
33,俄乌冲突概念;页岩气;天然气;新疆振兴;碳中和;西部大开发;一带一路;人民币贬值受益,300164.SZ,300164,8
33,俄乌冲突概念;天然气;股权转让(并购重组),300483.SZ,300483,3
17,足球概念;冰雪产业;体育产业;海峡两岸;跨境电商;养老概念;AIGC概念;人工智能;鸿蒙概念;华为概念;DeepSeek概念,605299.SH,605299,11
17,动物疫苗;创新药;宠物经济;合成生物;回购增持再贷款概念;融资融券,688098.SH,688098,6
33,苹果概念;华为概念;区块链,300736.SZ,300736,3
33,猴痘概念;流感;肝炎概念;幽门螺杆菌概念;基因测序;辅助生殖;创新药;智能医疗;医疗器械概念;民营医院;AI智能体;DeepSeek概念;人工智能;回购增持再贷款概念;融资融券,300639.SZ,300639,15
33,商业航天;大飞机;航空发动机;军民融合;军工;低空经济;无人机;海工装备;核电;数字经济;高端装备;东数西算(算力);机器人概念;柔性直流输电;智能电网;水利;光伏概念;充电桩;数据中心;风电;创投;石墨烯;一带一路;深股通;融资融券,002471.SZ,002471,25
17,电子纸;MiniLED;存储芯片;先进封装;柔性屏(折叠屏);OLED;消费电子概念;第三代半导体;MR(混合现实);共封装光学(CPO);AI眼镜;芯片概念;智能穿戴;小米概念;新型工业化;机器视觉;专精特新;华为概念;新能源汽车;虚拟现实;机器人概念;锂电池概念;融资融券,688328.SH,688328,23
33,家庭医生;智能医疗;医药电商;阿里巴巴概念;养老概念;时空大数据;医美概念;宠物经济;跨境电商;冷链物流;海峡两岸;深股通;融资融券,301017.SZ,301017,13
17,TOPCON电池;钙钛矿电池;HJT电池;硅能源;新型城镇化;虚拟电厂;PPP概念;光伏概念;固态电池;储能;锂电池概念,603778.SH,603778,11
33,阿尔茨海默概念;医药电商;创新药;医疗器械概念;跨境电商;机器人概念;深股通;融资融券,301015.SZ,301015,8
151,生物疫苗;重组蛋白;融资融券,920575.BJ,920575,3
17,创新药;沪股通;融资融券,688382.SH,688382,3
17,注册制次新股;参股银行;专精特新;乡村振兴;新股与次新股;融资融券,603284.SH,603284,6
33,代糖概念;锂电池概念;固态电池;生物质能发电;煤化工概念;合成生物;光伏概念;深股通;融资融券,002597.SZ,002597,9
17,BC电池;TOPCON电池;钙钛矿电池;第三代半导体;光伏概念;芯片概念;比亚迪概念;专精特新;沪股通;融资融券,688726.SH,688726,10
17,减速器;共同富裕示范区;机器人概念;长三角一体化,605055.SH,605055,4
151,AI应用;医药电商;医疗器械概念;医美概念;创新药;合成生物;重组蛋白;融资融券;专精特新,920982.BJ,920982,9
