code,所属概念,所属概念数量,market_code,股票代码
003018,液冷服务器,1,33,003018.SZ
603115,汽车电子;储能;专精特新,3,17,603115.SH
002913,AI PC;PCB概念;富士康概念;MiniLED;汽车电子;5G;数据中心;英伟达概念;小米概念;新能源汽车;6G概念;华为数字能源;华为概念;人民币贬值受益;抖音概念(字节概念);深股通;融资融券,17,33,002913.SZ
000539,超超临界发电;绿色电力;风电;国企改革;参股保险;期货概念;储能;光伏概念;创投;粤港澳大湾区;深股通;融资融券;东数西算(算力);海工装备,14,33,000539.SZ
001287,MCU芯片;存储芯片;国家大基金持股;芯片概念;无线耳机;华为海思概念股;消费电子概念;汽车电子;小米概念;富士康概念;智能座舱;毫米波雷达;星闪概念;英伟达概念;WiFi 6;人形机器人;比亚迪概念;小米汽车;机器视觉;机器人概念;新能源汽车;物联网;低空经济;卫星导航;语音技术;智能家居;长安汽车概念;粤港澳大湾区;网络安全;储能;核污染防治;充电桩;智能物流;人工智能;数据要素;智能电网;DeepSeek概念;央企国企改革;跨境电商;乡村振兴;国企改革;深股通;中字头股票;融资融券,44,33,001287.SZ
001389,共封装光学(CPO);PCB概念;AI PC;富士康概念;5G;汽车电子;消费电子概念;数据中心;商业航天;华为概念;机器人概念;卫星导航;粤港澳大湾区;人民币贬值受益;安防;一带一路;人工智能;融资融券;深股通,19,33,001389.SZ
600370,沪股通,1,17,600370.SH
603601,商业航天;大飞机;核电;核污染防治;PM2.5;芯片概念;建筑节能;特斯拉概念;西部大开发;中芯国际概念;新能源汽车;宁德时代概念;家用电器;融资融券,14,17,603601.SH
002445,绿色电力;光伏建筑一体化;手机游戏;文化传媒概念;独角兽概念;国企改革;海工装备;虚拟现实;深股通;融资融券,10,33,002445.SZ
002432,血氧仪;天津自贸区;回购增持再贷款概念;流感;京津冀一体化;智能医疗;医疗器械概念;创投;人民币贬值受益;AI应用;跨境电商;养老概念;智能穿戴;小米概念;深股通;融资融券,16,33,002432.SZ
603316,房屋检测;新型城镇化;水利;特色小镇;数据中心;PPP概念;存储芯片;污水处理;共同富裕示范区;碳中和;芯片概念;地下管网,12,17,603316.SH
600396,碳交易;绿色电力;超超临界发电;碳中和;风电;氢能源;国企改革;央企国企改革;海工装备,9,17,600396.SH
600307,特钢概念;金属铜;雅下水电概念;国企改革;西部大开发;商业航天;回购增持再贷款概念;氢能源;超导概念;可控核聚变;核电;华为概念;新能源汽车;融资融券;沪股通,15,17,600307.SH
001400,商业航天;3D打印;液冷服务器;风电;专精特新;汽车热管理;新能源汽车;注册制次新股;新股与次新股;融资融券,10,33,001400.SZ
603052,共封装光学(CPO);芯片概念;消费电子概念;OLED;传感器;专精特新;宁德时代概念;新能源汽车;固态电池;锂电池概念;沪股通,11,17,603052.SH
002667,金属铅;金属锌;小金属概念;磷化工;锂电池概念;储能;垃圾分类;融资融券,8,33,002667.SZ
603881,算力租赁;云计算;腾讯概念;中国AI 50;国资云;阿里巴巴概念;东数西算(算力);百度概念;蚂蚁集团概念;数据中心;液冷服务器;国企改革;沪股通;融资融券,14,17,603881.SH
605286,虚拟电厂;东数西算(算力);新型城镇化;储能;绿色电力;人工智能;风电;氢能源;沪股通,9,17,605286.SH
