所属概念,market_code,所属概念数量,股票代码,code
CRO概念;细胞免疫治疗;创新药;基因测序;生物疫苗;2025年报预增;智能医疗;专精特新;融资融券;沪股通,17,10,603127.SH,603127
光刻胶;富士康概念;苹果概念;PCB概念;柔性屏(折叠屏);消费电子概念;汽车电子;无线耳机;虚拟现实;华为概念;专精特新;新能源汽车;特斯拉概念;石墨烯;储能;氢能源;深股通,33,17,300806.SZ,300806
智能医疗;CRO概念;腾讯概念;AI应用;人工智能;减肥药;重组蛋白;创新药;2025年报预增;人民币贬值受益;西部大开发;回购增持再贷款概念;沪股通;融资融券,17,14,688222.SH,688222
CRO概念;重组蛋白;2025年报预增;沪股通;股权转让(并购重组);融资融券,17,6,688293.SH,688293
算力租赁;云游戏;云计算;多模态AI;东数西算(算力);数据确权;Web3.0;抖音概念(字节概念);AIGC概念;腾讯概念;虚拟数字人;AI智能体;百度概念;区块链;元宇宙;英伟达概念;数据中心;电子竞技;DeepSeek概念;NFT概念;手机游戏;人工智能;文化传媒概念;华为概念;虚拟现实;智能医疗;IP经济(谷子经济);AI应用;深股通;融资融券,33,30,300113.SZ,300113
太赫兹;电力物联网;智能电网;6G概念;国产航母;卫星导航;数据中心;光伏概念;军工信息化;军工;军民融合;无人机;华为概念;碳纤维;低空经济;储能;机器人概念;虚拟现实;腾讯概念;AI智能体;燃料电池;区块链;氢能源;智能医疗;创投;一带一路;IP经济(谷子经济);沪股通;融资融券,17,29,600590.SH,600590
商业航天;液冷服务器;3D打印;汽车热管理;专精特新;风电;新能源汽车;注册制次新股;新股与次新股;融资融券,33,10,001400.SZ,001400
共封装光学(CPO);光刻胶;芯片概念;新能源汽车;特斯拉概念;比亚迪概念;机器人概念;数据中心;海峡两岸;回购增持再贷款概念;福建自贸区;沪股通;融资融券,17,13,603306.SH,603306
房屋检测;乡村振兴;智慧城市;京津冀一体化;DeepSeek概念;雄安新区;创投;数字孪生;空间计算;水利;新型城镇化;PPP概念;车联网(车路协同);AI智能体;食品安全;网约车;国企改革;低空经济;碳中和;一带一路;粤港澳大湾区;无人机;雅下水电概念;储能;俄乌冲突概念;深股通;融资融券,33,27,300284.SZ,300284
科创次新股;注册制次新股;新股与次新股;融资融券,17,4,688712.SH,688712
