股票代码,所属概念,code,所属概念数量,market_code
000908.SZ,ST板块;流感;基因测序;眼科医疗;创新药;仿制药一致性评价;医美概念;医疗器械概念;消毒剂,000908,9,33
600608.SH,ST板块;国企改革,600608,2,22
300432.SZ,宁德时代概念;减速器;人形机器人;锂电池概念;小米概念;比亚迪概念;储能;机器人概念;华为概念;长安汽车概念;低空经济;新能源汽车;小米汽车;华为汽车;军工;盐湖提锂;汽车热管理;西部大开发;深股通;磷化工;股权转让(并购重组);融资融券,300432,22,33
600696.SH,白酒概念;ST板块,600696,2,22
688793.SH,脑机接口;医疗器械概念;电子竞技;语音技术;智能家居;养老概念;传感器;家用电器;智能穿戴;人工智能;IP经济(谷子经济);跨境电商;海峡两岸;专精特新;粤港澳大湾区;虚拟数字人;腾讯概念;DeepSeek概念;新能源汽车;回购增持再贷款概念;中俄贸易概念;一带一路;新疆振兴;融资融券,688793,24,17
300751.SZ,HJT电池;钙钛矿电池;光伏概念;第三代半导体;MicroLED概念;新型工业化;MiniLED;高端装备;芯片概念;先进封装;OLED;存储芯片;锂电池概念;回购增持再贷款概念;融资融券;深股通,300751,16,33
600777.SH,页岩气;天然气;俄乌冲突概念;ST板块;人民币贬值受益,600777,5,22
600468.SH,柔性直流输电;可控核聚变;智能电网;核电;海工装备;风电;军工;超导概念;军民融合;储能;氢能源;京津冀一体化;一带一路;国企改革;沪股通,600468,15,17
600481.SH,硅能源;光热发电;光伏概念;核电;超超临界发电;数据中心;高端装备;工业互联网;储能;DeepSeek概念;氢能源;液冷服务器;碳中和;专精特新;融资融券;沪股通,600481,16,17
301168.SZ,比亚迪概念;光伏概念;专精特新;固态电池;锂电池概念;绿色电力;融资融券,301168,7,33
300668.SZ,ERP概念;数据确权;新型城镇化;华为概念;AIGC概念;股权转让(并购重组),300668,6,33
300939.SZ,MiniLED;电子纸;5G;汽车电子;安防;物联网;智能家居;无人驾驶;充电桩;机器人概念;比亚迪概念;家用电器;智慧城市;长安汽车概念;新能源汽车;人工智能;储能;融资融券,300939,18,33
603211.SH,毫米波雷达;卫星导航;特斯拉概念;机器人概念;无人驾驶;比亚迪概念;新能源汽车;专精特新;智能家居;长三角一体化;沪股通,603211,11,17
002594.SZ,钠离子电池;深股通;融资融券;盐湖提锂;同花顺漂亮100;超级品牌;动力电池回收;锂电池概念;高压快充;储能;同花顺出海50;车联网(车路协同);充电桩;DeepSeek概念;光伏概念;数据中心;芯片概念;机器人概念;无人驾驶;粤港澳大湾区;新能源汽车;比亚迪概念,002594,22,33
600740.SH,煤炭概念;煤化工概念;国企改革;融资融券;碳纤维;工业互联网;沪股通,600740,7,17
603906.SH,钠离子电池;固态电池;动力电池回收;宁德时代概念;锂电池概念;磷化工;储能;比亚迪概念;燃料电池;新能源汽车;液冷服务器;氢能源;一带一路;数据中心;无人机;数字经济;融资融券;沪股通,603906,18,17
300164.SZ,俄乌冲突概念;页岩气;天然气;新疆振兴;西部大开发;碳中和;一带一路;人民币贬值受益,300164,8,33
000973.SZ,固态电池;宁德时代概念;锂电池概念;比亚迪概念;OLED;特高压;融资融券;粤港澳大湾区;国企改革;AI眼镜;证金持股;航运概念;深股通;股权转让(并购重组),000973,14,33
600310.SH,超超临界发电;抽水蓄能;绿色电力;风电;参股券商;储能;沪股通;融资融券;国企改革;西部大开发;创投;DeepSeek概念;人工智能,600310,13,17
300718.SZ,人形机器人;汽车热管理;特斯拉概念;机器人概念;专精特新;长三角一体化;核电;风电;融资融券;深股通,300718,10,33
300100.SZ,人形机器人;华为汽车;PEEK材料;长安汽车概念;特斯拉概念;工业母机;智能座舱;机器人概念;比亚迪概念;新能源汽车;汽车电子;低空经济;工业互联网;深股通;融资融券,300100,15,33
300118.SZ,钙钛矿电池;HJT电池;TOPCON电池;硅能源;商业航天;光伏建筑一体化;光伏概念;储能;华为概念;绿色电力;共同富裕示范区;乡村振兴;深股通;融资融券,300118,14,33
002756.SZ,锂电池概念;特钢概念;核电;军工;互联网金融;融资融券;深股通,002756,7,33
300866.SZ,跨境电商;无线耳机;智能家居;人民币贬值受益;无线充电;AI眼镜;储能;充电桩;3D打印;消费电子概念;机器人概念;芯片概念;人工智能;安防;深股通;融资融券,300866,16,33
920375.BJ,东数西算(算力);阿里巴巴概念;高压快充;碳交易;百度概念;粤港澳大湾区;腾讯概念;电力物联网;虚拟电厂;融资融券;碳中和;物联网;充电桩;华为鲲鹏;智能电网;抖音概念(字节概念);专精特新;华为概念;核电;DeepSeek概念;建筑节能;数据要素;储能;人工智能;数据中心,920375,25,151
688195.SH,共封装光学(CPO);光纤概念;光刻机;数据中心;AI眼镜;芯片概念;量子科技;专精特新;商业航天;卫星导航;华为概念;无人驾驶;海峡两岸;福建自贸区;医疗器械概念;独角兽概念;沪股通;股权转让(并购重组);融资融券,688195,19,17
920592.BJ,蚂蚁集团概念;人工智能;AIGC概念;阿里巴巴概念;智谱AI;华为概念;智慧政务;数字经济;DeepSeek概念;信创;区块链;互联网金融;融资融券;数据要素;京津冀一体化;鸿蒙概念,920592,16,151
000592.SZ,福建自贸区;海峡两岸;旅游概念;乡村振兴;民营医院;合成生物;化肥;深股通;融资融券,000592,9,33
920088.BJ,一带一路;空气能热泵;净水概念;专精特新;新疆振兴;融资融券;西部大开发,920088,7,151
920010.BJ,换电概念;融资融券;储能;算力租赁;天然气;东数西算(算力);氢能源;锂电池概念;数据中心;西部大开发,920010,10,151
301292.SZ,钠离子电池;固态电池;锂电池概念;比亚迪概念;新能源汽车;专精特新;深股通;融资融券,301292,8,33
600681.SH,天然气;氢能源;京津冀一体化;机器人概念;人形机器人;沪股通;融资融券,600681,7,17
600207.SH,光热发电;光伏概念;建筑节能;储能;国企改革;天然气;医疗器械概念;芯片概念;富士康概念;沪股通;融资融券,600207,11,17
300543.SZ,物联网;机器人概念;智能家居;小米概念;家用电器;华为概念;粤港澳大湾区;比亚迪概念;创投;人民币贬值受益;DeepSeek概念;储能;光伏概念;宠物经济;锂电池概念,300543,15,33
600176.SH,PCB概念;风电;光伏概念;央企国企改革;PEEK材料;一带一路;回购增持再贷款概念;长三角一体化;同花顺中特估100;国企改革;沪股通;融资融券;DeepSeek概念;中字头股票,600176,14,17
000669.SZ,ST板块;天然气,000669,2,33
920985.BJ,石墨电极;融资融券;光伏概念;TOPCON电池;氢能源;HJT电池;储能;换电概念,920985,8,151
600316.SH,大飞机;军民融合;军工;央企国企改革;无人机;高端装备;低空经济;国企改革;乡村振兴;融资融券;沪股通,600316,11,17
002549.SZ,光刻机;俄乌冲突概念;芯片概念;氢能源;专精特新;冷链物流;啤酒概念;碳中和;眼科医疗;融资融券;深股通,002549,11,33
000862.SZ,智能电网;绿色电力;风电;碳中和;央企国企改革;国企改革;西部大开发;深股通,000862,8,33
600985.SH,煤炭概念;煤化工概念;超超临界发电;民爆概念;绿色电力;国企改革;华为概念;融资融券;沪股通,600985,9,17
002092.SZ,煤化工概念;煤炭概念;水泥概念;可降解塑料;消毒剂;新疆振兴;碳交易;石墨烯;国企改革;碳中和;西部大开发;一带一路;风电;职业教育;跨境电商;深股通;摘帽,002092,17,33
300300.SZ,家庭医生;海峡两岸;文化传媒概念;智慧城市;智能医疗;数字经济;人工智能;独角兽概念;创投;东数西算(算力);医疗器械概念;国企改革;数据中心;充电桩;2025年报预增;摘帽,300300,16,33
002408.SZ,环氧丙烷;可降解塑料;氢能源;国企改革;碳纤维;深股通;融资融券,002408,7,33
600408.SH,煤化工概念;煤炭概念;氢能源;碳中和,600408,4,17
300483.SZ,俄乌冲突概念;天然气;股权转让(并购重组),300483,3,33
603738.SH,6G概念;共封装光学(CPO);华为海思概念股;卫星导航;军工;WiFi 6;5G;光刻机;无人机;芯片概念;消费电子概念;汽车芯片;数据中心;汽车电子;智能穿戴;AI眼镜;专精特新;MCU芯片;华为概念;比亚迪概念;智能座舱;无人驾驶;机器人概念;宁德时代概念;人形机器人;创投;融资融券;沪股通,603738,28,17
600066.SH,同花顺出海50;沪股通;融资融券;露营经济;汽车热管理;新能源汽车;车联网(车路协同);无人驾驶;燃料电池;DeepSeek概念;冷链物流;氢能源;动力电池回收,600066,13,17
600617.SH,天然气;国企改革;地下管网;沪股通;融资融券,600617,5,17
603225.SH,长三角一体化;回购增持再贷款概念;工业互联网;沪股通;融资融券,603225,5,17
605090.SH,商业航天;天然气;页岩气;航运概念;低空经济;俄乌冲突概念;数字经济;新疆振兴;DeepSeek概念;创投;氢能源;智能物流;粤港澳大湾区;芯片概念;回购增持再贷款概念;煤化工概念;绿色电力;融资融券;沪股通,605090,19,17
603093.SH,期货概念;参股券商;数字经济;沪股通,603093,4,17
000617.SZ,信托概念;数字货币;跨境支付(CIPS);期货概念;新疆振兴;参股券商;同花顺中特估100;创投;国企改革;西部大开发;参股银行;碳中和;氢能源;一带一路;可控核聚变;深股通;中字头股票;融资融券,000617,18,33
688295.SH,碳纤维;大飞机;飞行汽车(eVTOL);低空经济;风电;机器人概念;国企改革;专精特新;氢能源;商业航天;沪股通;中字头股票;融资融券,688295,13,17
000912.SZ,化肥;煤化工概念;乡村振兴;西部大开发;国企改革;回购增持再贷款概念;深股通;融资融券,000912,8,33
001256.SZ,共同富裕示范区;长三角一体化;专精特新,001256,3,33
600756.SH,DRG/DIP;财税数字化;AIGC概念;智慧政务;AI智能体;在线教育;信创;云计算;人工智能;DeepSeek概念;数字孪生;养老概念;国资云;同花顺新质50;工业互联网;国企改革;回购增持再贷款概念;沪股通;融资融券,600756,19,17
301638.SZ,电力物联网;虚拟电厂;智能电网;算力租赁;数据中心;东数西算(算力);国产操作系统;多模态AI;网络安全;碳中和;数字孪生;数据要素;DeepSeek概念;区块链;鸿蒙概念;物联网;AI应用;数字经济;人工智能;量子科技;无人机;卫星导航;央企国企改革;粤港澳大湾区;传感器;国企改革;注册制次新股;芯片概念;深股通;新股与次新股;融资融券,301638,31,33
688411.SH,固态电池;华为数字能源;储能;智能电网;充电桩;新能源汽车;数据中心;专精特新;智能物流;华为概念;DeepSeek概念;沪股通;融资融券,688411,13,17
000065.SZ,煤炭概念;超超临界发电;央企国企改革;绿色电力;同花顺中特估100;风电;国企改革;新型城镇化;一带一路;水利;智能物流;无人机;人民币贬值受益;新能源汽车;深股通;融资融券,000065,16,33
300620.SZ,共封装光学(CPO);光纤概念;5G;芯片概念;数据中心;3D打印;量子科技;2025年报预增;海工装备;商业航天;卫星导航;无人驾驶;2025三季报预增;粤港澳大湾区;一带一路;横琴新区;国企改革;股权转让(并购重组);深股通;融资融券,300620,20,33
603701.SH,农机;储能;长安汽车概念;新能源汽车;乡村振兴;汽车电子;国企改革;智能座舱,603701,8,17
689009.SH,跨境电商;两轮车;机器人概念;车联网(车路协同);人工智能;DeepSeek概念;小米概念;国产操作系统;储能;英伟达概念;2025年报预增;融资融券,689009,12,17
300377.SZ,数字货币;Web3.0;互联网金融;华为鲲鹏;区块链;信创;AI智能体;华为昇腾;阿里巴巴概念;DeepSeek概念;腾讯概念;人工智能;华为概念;机器人概念;粤港澳大湾区;AI应用;深股通;股权转让(并购重组);融资融券,300377,19,33
000815.SZ,算力租赁;国资云;东数西算(算力);云计算;数据中心;绿色电力;央企国企改革;国企改革;西部大开发;深股通;融资融券,000815,11,33
920932.BJ,AI应用;知识产权保护;华为盘古;人形机器人;智慧城市;ERP概念;工业互联网;储能;新型工业化;机器人概念;数字经济;换电概念;碳中和;钠离子电池;融资融券;华为鲲鹏;无人驾驶;机器视觉;智慧政务;专精特新;华为概念;DeepSeek概念;充电桩;人工智能;信创;物联网;5G,920932,27,151
300894.SZ,智能家居;创投;家用电器;机器人概念;人形机器人;深股通;融资融券,300894,7,33
601218.SH,风电;海工装备;绿色电力;2025年报预增;金属回收;融资融券,601218,6,17
601118.SH,海南自贸区;农业种植;可降解塑料;碳中和;国企改革;乡村振兴;军工;融资融券;沪股通,601118,9,17
600299.SH,维生素;央企国企改革;国企改革;人民币贬值受益;DeepSeek概念;沪股通;融资融券,600299,7,17
000680.SZ,雅下水电概念;高端装备;人民币贬值受益;一带一路;无人驾驶;机器人概念;垃圾分类;雄安新区;国企改革;中俄贸易概念;新型城镇化;乡村振兴;人工智能;融资融券;深股通,000680,15,33
301680.SZ,注册制次新股;汽车热管理;柔性直流输电;特高压;智能电网;新能源汽车;专精特新;储能;锂电池概念;宁德时代概念;新股与次新股;融资融券,301680,12,33
601992.SH,房屋检测;水泥概念;京津冀一体化;商业航天;雄安新区;创投;装配式建筑;物业管理;国企改革;核电;一带一路;可控核聚变;固废处理;储能;沪股通;融资融券,601992,16,17
300207.SZ,钠离子电池;固态电池;动力电池回收;锂电池概念;盐湖提锂;新型烟草(电子烟);两轮车;华为手机;储能;无线充电;无线耳机;石墨烯;苹果概念;AI眼镜;金属回收;高压快充;智能穿戴;虚拟电厂;消费电子概念;星闪概念;新能源汽车;小米概念;汽车电子;智能音箱;华为概念;虚拟现实;粤港澳大湾区;机器人概念;工业互联网;换电概念;深股通;数字孪生;智能家居;低空经济;无人机;数字经济;DeepSeek概念;一带一路;创投;人工智能;融资融券,300207,41,33
003816.SZ,同花顺中特估100;绿色电力;央企国企改革;国企改革;核电;一带一路;核污染防治;DeepSeek概念;中字头股票;融资融券;深股通,003816,11,33
301327.SZ,BC电池;钠离子电池;固态电池;光伏建筑一体化;光伏概念;锂电池概念;储能;智能电网;特斯拉概念;露营经济;新能源汽车;人民币贬值受益;机器人概念;网红经济;深股通;融资融券,301327,16,33
